seed,mode,set_id,kr_hat,best_lmin,adoption
117,window_mc,3,3.0,0.1,ok
117,window_mc,5,3.6,0.1,ok
117,hybrid,1,3.05,0.5,ok
117,hybrid,2,2.75,0.5,ok
117,hybrid,3,2.8,0.5,ok
117,hybrid,5,3.8000000000000003,0.5,ok
118,window_mc,1,2.55,0.3,ok
118,window_mc,2,3.0,0.2,ok
118,window_mc,3,2.95,0.1,ok
118,window_mc,5,3.7,0.2,ok
118,hybrid,1,2.5,0.5,ok
118,hybrid,2,3.1,0.5,ok
118,hybrid,3,3.1500000000000004,0.5,ok
118,hybrid,5,3.5,0.5,ok
119,window_mc,1,2.9000000000000004,0.3,ok
119,window_mc,2,2.85,0.2,ok
119,window_mc,3,3.05,0.1,ok
119,window_mc,5,3.6,0.2,ok
119,hybrid,1,2.85,0.5,ok
119,hybrid,2,2.75,0.5,ok
119,hybrid,3,2.9000000000000004,0.5,ok
119,hybrid,5,3.6,0.5,ok
120,window_mc,1,2.8,0.5,ok
120,window_mc,2,3.0,0.2,ok
120,window_mc,3,2.9000000000000004,0.5,ok
120,window_mc,5,3.75,0.5,ok
120,hybrid,1,2.85,0.5,ok
120,hybrid,2,3.45,0.5,ok
120,hybrid,3,2.75,0.5,ok
120,hybrid,5,3.65,0.5,ok
101,hybrid_sel,1,2.5,0.75,class_fraction_mismatch
101,hybrid_sel,2,2.95,0.3,ok
101,hybrid_sel,3,2.55,0.2,ok
101,hybrid_sel,5,3.5,0.3,ok
102,hybrid_sel,1,2.6,0.2,ok
102,hybrid_sel,2,2.8,0.3,ok
102,hybrid_sel,3,2.8,0.5,ok
102,hybrid_sel,5,3.45,0.2,ok
103,hybrid_sel,1,2.75,0.75,ok
103,hybrid_sel,2,3.6,0.75,ok
103,hybrid_sel,3,2.9000000000000004,0.2,ok
103,hybrid_sel,5,3.5,0.5,ok
104,hybrid_sel,1,3.2,0.3,ok
104,hybrid_sel,2,4.0,0.3,weak_identifiability
104,hybrid_sel,3,3.25,0.2,ok
104,hybrid_sel,5,3.8000000000000003,0.75,ok
105,hybrid_sel,1,2.6,0.75,ok
105,hybrid_sel,2,2.6500000000000004,0.1,ok
105,hybrid_sel,3,3.0,0.1,ok
105,hybrid_sel,5,3.6,0.1,ok
106,hybrid_sel,1,2.85,0.1,ok
106,hybrid_sel,2,2.95,0.1,ok
106,hybrid_sel,3,2.85,0.2,ok
106,hybrid_sel,5,3.25,0.5,ok
107,hybrid_sel,1,2.85,0.75,ok
107,hybrid_sel,2,3.65,0.5,weak_identifiability
107,hybrid_sel,3,2.8,0.2,ok
107,hybrid_sel,5,4.15,0.2,ok
108,hybrid_sel,1,2.75,0.2,ok
108,hybrid_sel,2,2.6,0.3,ok
108,hybrid_sel,3,3.05,0.2,ok
108,hybrid_sel,5,3.65,0.2,ok
109,hybrid_sel,1,3.0,0.3,ok
109,hybrid_sel,2,3.3,0.1,ok
109,hybrid_sel,3,3.0,0.1,ok
109,hybrid_sel,5,3.1500000000000004,0.3,ok
110,hybrid_sel,1,3.25,0.2,ok
110,hybrid_sel,2,2.6500000000000004,0.2,ok
110,hybrid_sel,3,2.75,0.75,ok
110,hybrid_sel,5,3.85,0.2,ok
111,hybrid_sel,1,3.1500000000000004,0.75,ok
111,hybrid_sel,2,2.95,0.1,class_fraction_mismatch
111,hybrid_sel,3,3.1,0.3,ok
111,hybrid_sel,5,4.1,0.75,ok
112,hybrid_sel,1,2.9000000000000004,0.3,ok
112,hybrid_sel,2,3.6,0.75,ok
112,hybrid_sel,3,3.1500000000000004,0.75,ok
112,hybrid_sel,5,3.45,0.5,ok
113,hybrid_sel,1,2.85,0.75,ok
113,hybrid_sel,2,2.6,0.2,ok
113,hybrid_sel,3,2.9000000000000004,0.2,ok
113,hybrid_sel,5,3.65,0.3,ok
114,hybrid_sel,1,2.85,0.5,ok
114,hybrid_sel,2,2.8,0.2,ok
114,hybrid_sel,3,2.95,0.5,ok
114,hybrid_sel,5,3.9000000000000004,0.75,ok
