angle_deg,seed,set_id,kappa,kr_hat,P32_hat
60,1,1,13.32,2.967,0.7971669383964217
60,1,2,15.27,2.767,1.412639931302084
60,1,3,6.68,2.633,0.7856486974865318
60,1,5,22.52,3.5,0.8481920229721681
72,1,1,13.14,3.033,0.7370209057931902
72,1,2,17.14,2.567,1.4541398811091866
72,1,3,8.77,2.9,0.8598778905564862
72,1,5,23.65,3.7,0.8973001246587249
36,1,1,13.95,2.9,0.821856194452778
36,1,2,15.76,2.5,1.395429842343587
36,1,3,8.12,2.9,0.9006026425316592
36,1,5,22.48,3.433,0.7540489088682555
48,1,1,13.56,2.833,0.8078816567530586
48,1,2,15.09,2.633,1.330473473052943
48,1,3,7.83,2.767,1.0486151405066897
48,1,5,21.73,3.833,0.801381893135255
0,1,1,13.22,2.833,0.837628477733028
0,1,2,16.3,2.5,1.12380445580186
0,1,3,12.57,2.9,1.1548919794271597
0,1,5,23.63,3.3,0.9160129777323599
12,1,1,13.83,2.767,0.823704990653688
12,1,2,19.04,2.767,1.2299976804993673
12,1,3,11.84,2.833,1.0750314070876266
12,1,5,19.85,3.3,0.8767957348340324
24,1,1,14.59,2.767,0.7982642881556719
24,1,2,20.35,2.567,1.310644796184761
24,1,3,9.24,2.967,0.9757564460654602
24,1,5,25.0,3.7,0.8392831007231801
84,1,1,11.86,3.033,0.7423158237390038
84,1,2,17.88,2.767,1.434017233291973
84,1,3,10.55,2.9,0.9329641979795769
84,1,5,22.19,3.367,0.9390066001978821
108,1,1,9.55,2.9,0.8930794627285412
108,1,2,21.42,2.7,1.2355997099630105
108,1,3,12.71,2.633,1.102650076185324
108,1,5,22.01,3.233,1.0406959243725173
96,1,1,10.11,3.167,0.7581503580009675
96,1,2,19.72,2.767,1.3473056848218765
96,1,3,12.66,2.833,0.9824874341559007
96,1,5,21.82,3.3,0.9848025768441917
120,1,1,8.4,2.633,0.7738615406009375
120,1,2,22.84,3.1,1.2703446019653786
120,1,3,13.52,2.5,1.131460961080824
120,1,5,23.05,3.233,1.0529939325375814
12,2,1,13.94,2.967,0.7589854005930854
12,2,2,19.18,3.167,1.0944866143577594
12,2,3,14.36,2.967,0.7970574884388294
12,2,5,24.58,3.233,0.9160498803729353
24,2,1,13.91,2.967,0.7798625331575126
24,2,2,21.54,3.233,1.196353753874718
24,2,3,13.77,3.3,0.7366930208589185
24,2,5,20.44,3.7,0.9169294659768898
36,2,1,13.23,2.967,0.7867150930151386
36,2,2,22.46,2.9,1.1719536764475909
36,2,3,14.93,3.633,0.6910209141124168
36,2,5,21.41,3.567,1.0339046272647183
0,2,1,14.78,3.167,0.6979824387574253
0,2,2,16.86,3.5,1.0299483128961873
0,2,3,11.76,3.033,0.9003605452434228
0,2,5,22.9,3.433,0.8743953365016598
156,1,1,13.56,2.567,1.0178389705702506
156,1,2,19.54,2.9,1.2022988231644849
156,1,3,13.82,2.633,1.1017471067940536
156,1,5,24.73,3.3,1.048485019350647
180,1,1,13.13,2.567,1.0671120828592302
