seed,mode,set_id,lmin_fit,kr_hat,fit_status,adoption_status,class_l1,q90_ratio
102,hybrid,1,0.5,2.6,ok,accepted,0.023062683809456697,0.5242283461110583
102,hybrid,1,0.75,2.55,ok,provisional_accepted,0.012773039095024601,0.5162116014530265
102,hybrid,2,0.1,2.4,class_fraction_mismatch,rejected,0.335583583845249,1.055161600462813
102,hybrid,2,0.2,2.6,ok,provisional_accepted,0.2313302850830085,0.9348084584289661
102,hybrid,2,0.3,2.8,ok,accepted,0.1786212341354351,0.8841846868839124
102,hybrid,2,0.5,2.7,ok,provisional_accepted,0.14746400590997433,0.9215326367099064
102,hybrid,2,0.75,2.7,ok,provisional_accepted,0.12379405750030066,0.8710986389573533
102,hybrid,3,0.1,2.75,ok,accepted,0.08123850494092703,0.8704261251686043
102,hybrid,3,0.2,2.75,ok,accepted,0.10091163137200339,0.8677322947882901
102,hybrid,3,0.3,2.75,ok,accepted,0.0996916020312957,0.8916189720141983
102,hybrid,3,0.5,2.8,ok,accepted,0.07837813539512718,0.845269027041712
102,hybrid,3,0.75,2.75,ok,accepted,0.08007024538421384,0.7900750247243389
102,hybrid,5,0.1,3.45,ok,accepted,0.0655200918345144,0.8305094992504944
102,hybrid,5,0.2,3.45,ok,accepted,0.049122322874119016,0.8349744449628147
102,hybrid,5,0.3,3.45,ok,accepted,0.0714512049469104,0.8454171158649555
102,hybrid,5,0.5,3.45,ok,accepted,0.12353593932541296,0.786098921757979
102,hybrid,5,0.75,3.3,ok,provisional_accepted,0.12449096324153033,0.7934852038755186
103,window_mc,1,0.1,3.2,ok,provisional_accepted,0.18722554903167193,0.6815912823723173
103,window_mc,1,0.2,2.9000000000000004,ok,accepted,0.1447273229535663,0.6788905390874662
103,window_mc,1,0.3,2.7,ok,accepted,0.13597259231062045,0.7037944765706305
103,window_mc,1,0.5,3.0,ok,accepted,0.0914069229309312,0.6506568719932674
103,window_mc,1,0.75,2.75,ok,accepted,0.08022806809251629,0.719170462731749
103,window_mc,2,0.1,3.35,ok,provisional_accepted,0.1368425882029087,0.9385537437189766
103,window_mc,2,0.2,3.4000000000000004,ok,provisional_accepted,0.10781635195398791,0.9244389144750147
103,window_mc,2,0.3,4.1,ok,rejected,0.03154168123273109,0.8473129675640693
