interval_m,seed,set_id,kappa,kr_hat,P32_hat
6,13,1,14.39,2.7,0.9726949779752898
6,13,2,18.58,2.633,0.9026802348326607
6,13,3,10.27,3.033,0.7618687572986284
6,13,5,21.45,3.5,1.006434377864761
3,13,1,14.81,2.7,0.9282558466816532
3,13,2,17.28,3.567,0.766446844518276
3,13,3,9.97,2.9,0.8804722580117328
3,13,5,21.66,3.7,0.9229892897239523
0.5,14,1,13.25,2.967,0.8464253540049117
0.5,14,2,11.85,3.033,0.8099668855075105
0.5,14,3,11.8,3.633,0.5831832646573634
0.5,14,5,26.02,4.167,1.1280694786551086
1,14,1,13.92,3.233,0.7743112635303812
1,14,2,11.93,3.433,0.7791927419908125
1,14,3,11.66,3.367,0.7678435884221569
1,14,5,24.51,4.233,1.0061605804812617
3,14,1,14.96,2.9,0.7621552636468034
3,14,2,13.69,2.967,0.7710921677720532
3,14,3,11.08,3.633,0.6914243590148438
3,14,5,26.8,4.167,0.8620939111380921
2,14,1,14.2,3.1,0.6943918657111304
2,14,2,11.63,2.967,0.7864359031628468
2,14,3,11.47,3.433,0.731017897386294
2,14,5,26.5,4.367,0.914211025046022
6,14,1,15.7,2.7,0.88576524870413
6,14,2,12.89,3.1,0.8858108274226135
6,14,3,11.64,3.367,0.6917230022583623
6,14,5,23.97,4.033,0.8660954372901833
0.5,15,1,14.57,2.433,1.1302445007700117
0.5,15,2,16.93,3.967,0.7676427356069658
0.5,15,3,11.52,2.9,1.2837893195513255
0.5,15,5,25.96,3.7,1.0335863756105466
1,15,1,15.11,2.433,1.1115645956530649
1,15,2,17.33,3.3,0.7437996474271032
1,15,3,11.6,2.767,1.2869040674085686
1,15,5,23.85,3.9,0.8801858314427606
6,15,1,14.43,2.7,0.8571718859986209
6,15,2,15.09,3.3,0.7077723048953256
6,15,3,9.51,2.9,0.9826913068326083
6,15,5,23.06,3.9,0.914401905254127
0.5,16,1,16.2,2.833,0.839224023611718
0.5,16,2,16.02,2.833,1.3806112563830353
0.5,16,3,13.9,4.767,0.6452068873255378
0.5,16,5,27.32,3.633,1.0110111394425136
2,15,1,14.88,2.567,1.033830379077186
2,15,2,14.47,3.3,0.7731191016623952
2,15,3,11.11,2.767,1.29824943002746
2,15,5,23.35,3.767,0.8850447741553911
3,15,1,13.9,2.633,0.898535897209712
3,15,2,16.27,3.3,0.7901758569834832
3,15,3,10.39,2.833,1.1341993115052762
3,15,5,25.49,3.567,0.9258772134799308
2,16,1,15.28,2.767,0.8773679237097564
2,16,2,17.81,3.367,0.9418488964110553
2,16,3,12.08,3.5,0.719131153397814
2,16,5,22.16,3.433,0.9683117647836171
1,16,1,13.99,2.767,0.8489977162647668
1,16,2,17.16,3.167,1.1603611473472895
1,16,3,11.19,4.3,0.5779902204627217
1,16,5,23.13,3.567,0.9785919778404976
6,16,1,14.08,2.633,1.0577731210858787
6,16,2,20.12,3.033,0.8991484520450818
6,16,3,12.31,3.167,0.9492321314699388
6,16,5,21.58,3.433,0.9979969675377893
3,16,1,14.84,2.7,0.8926237985466873
3,16,2,15.4,3.233,0.7597827465010092
3,16,3,11.55,3.433,0.8609124558455181
3,16,5,21.6,3.367,0.9136436595366462
0.5,17,1,14.86,2.7,0.951937193240346
0.5,17,2,20.89,4.033,0.6388013133634487
0.5,17,3,12.64,2.633,0.9567608219706172
0.5,17,5,23.63,3.967,1.1420290627331229
1,17,1,14.43,2.833,1.0008214328521494
1,17,2,18.84,3.367,0.6998294290535653
1,17,3,10.99,2.833,0.943603657121992
1,17,5,20.8,4.233,0.9937268794913858
3,17,1,13.45,2.767,0.8376559209744588
3,17,2,15.53,3.367,0.46805674420135046
3,17,3,10.85,2.7,0.9670149864345404
3,17,5,23.59,3.967,0.8018580935459904
2,17,1,12.7,2.633,0.9226988286445431
2,17,2,19.35,3.3,0.7877567397119875
2,17,3,10.57,2.833,0.9349465800904772
2,17,5,22.89,4.167,0.8539412796901719
0.5,18,1,12.9,2.367,0.9805792436816384
0.5,18,2,16.25,2.767,0.6079606419806376
0.5,18,3,11.84,2.767,1.3699878938388241
0.5,18,5,24.23,3.833,0.9650277350051572
6,17,1,13.45,2.567,0.8812588654050538
6,17,2,16.31,3.033,0.6188897978643354
6,17,3,11.41,2.7,1.0668877765719265
6,17,5,21.52,3.7,0.816340567074908
2,18,1,12.72,2.5,1.0304488491528594
2,18,2,20.09,3.1,0.861490811076193
2,18,3,11.43,2.9,1.0940745389985347
2,18,5,23.61,3.7,0.9020203220605656
1,18,1,13.2,2.433,1.074510341429311
1,18,2,20.09,2.633,0.7859283892412056
1,18,3,12.47,2.967,1.2965023153480444
1,18,5,21.84,3.7,0.9689162652032632
6,18,1,13.12,2.833,0.8399634972586117
6,18,2,18.26,3.1,0.8929074362051701
6,18,3,10.75,3.1,0.843664556042894
6,18,5,22.31,3.7,0.9302383565905673
3,18,1,13.38,2.567,0.9905679682891221
3,18,2,20.8,2.9,0.9431814782462442
3,18,3,12.06,3.1,0.9934684600795145
3,18,5,24.72,3.5,1.001977129252227
0.5,19,1,15.53,2.967,0.8116587221898827
0.5,19,2,18.82,4.5,0.6367576520713075
0.5,19,3,11.08,2.833,0.8827803668560896
0.5,19,5,29.92,3.367,0.973554463941329
1,19,1,13.98,2.9,0.8407062089731192
1,19,2,22.07,3.433,0.7101728371511833
1,19,3,11.91,2.967,0.8992121735726516
1,19,5,24.05,3.433,0.9295556411016891
2,19,1,15.14,2.967,0.7040488344482856
2,19,2,17.62,3.433,0.795451730397181
2,19,3,11.62,3.167,0.9454524163316615
2,19,5,23.08,3.233,1.03733053685365
3,19,1,14.33,2.967,0.8255993604092338
3,19,2,17.08,3.633,0.7762617454246262
3,19,3,11.49,3.1,0.8919574540946286
3,19,5,22.11,3.033,0.9190307375392709
6,19,1,14.2,2.9,0.8132538249247226
6,19,2,16.67,3.167,0.9919894923083324
6,19,3,11.34,2.767,0.9905918042305317
6,19,5,24.07,3.167,1.000337795127018
0.5,20,1,16.71,2.7,0.8769368303160603
0.5,20,2,14.52,3.833,0.7141908067035647
0.5,20,3,14.65,3.033,1.0029108898692198
0.5,20,5,21.06,3.633,1.083365482260439
1,20,1,13.52,2.767,0.9205054478986873
1,20,2,16.37,3.3,0.7713879113677727
1,20,3,13.65,2.967,0.9948605044462999
1,20,5,20.93,4.233,0.9508653728881186
2,20,1,13.47,2.833,0.8364006320659079
2,20,2,13.89,2.833,0.9806162855976548
2,20,3,14.37,2.833,1.1611068736104961
2,20,5,22.35,3.633,1.0202329107444952
6,20,1,13.21,2.833,0.8470187161345841
6,20,2,15.66,3.033,0.9526331501704317
6,20,3,13.44,2.833,1.0639747906987291
6,20,5,22.2,3.567,0.8607859534434541
3,20,1,13.76,2.967,0.7609197449837171
3,20,2,16.18,2.367,1.0195454950889187
3,20,3,13.01,2.833,1.041060290497754
3,20,5,24.91,3.633,0.8283213618824292
