interval_m,seed,set_id,kappa,kr_hat,P32_hat
0.5,2,1,15.26,3.233,0.6596823737804387
0.5,2,2,14.58,2.7,1.2764062975636186
0.5,2,3,15.03,3.7,0.7960497614522691
0.5,2,5,27.04,3.5,0.8840246582537347
3,1,1,15.27,2.633,0.8792730422400645
3,1,2,14.45,2.567,0.7390660145091494
3,1,3,10.84,2.967,0.9764182554517943
3,1,5,24.38,3.233,1.1455852328247882
2,1,1,15.76,2.833,0.8270252717726114
2,1,2,15.39,2.5,0.8198151100898137
2,1,3,11.61,2.833,1.1257549147980914
2,1,5,23.03,3.3,1.1130722968032507
6,1,1,14.11,2.767,0.8416095981894375
6,1,2,14.93,3.167,0.6212104539402535
6,1,3,10.32,3.033,0.9517806815822685
6,1,5,21.62,3.3,0.8847613549072775
1,1,1,15.9,2.9,0.7428193725148309
1,1,2,17.13,2.633,1.1093308527045818
1,1,3,11.68,2.767,1.1056768583632801
1,1,5,25.93,3.367,1.0042722176807652
0.5,1,1,14.71,2.7,0.74284505639741
0.5,1,2,20.53,3.233,1.021456586108043
0.5,1,3,11.09,2.9,1.1045199858776977
0.5,1,5,24.27,3.7,0.8738174718450064
1,2,1,13.95,3.167,0.651650751289412
1,2,2,14.39,2.833,0.9781867103714778
1,2,3,13.0,3.167,0.8323237265065578
1,2,5,27.03,3.7,0.8764779671977685
2,2,1,14.16,2.767,0.7497725914881788
2,2,2,17.72,2.967,0.9367934752998759
2,2,3,11.77,3.233,0.8494603063994095
2,2,5,26.99,3.567,0.845531550870239
3,2,1,14.63,2.9,0.701119108128151
3,2,2,14.45,3.167,0.782589616621379
3,2,3,10.94,2.767,0.9515012685291607
3,2,5,25.97,3.833,0.8382911554377339
0.5,3,1,14.54,2.567,1.217318488481339
0.5,3,2,15.04,4.433,0.5626737740397256
0.5,3,3,13.2,2.633,0.8372089424586332
0.5,3,5,28.68,3.767,0.893986811767315
6,2,1,13.37,2.767,0.8418592622779253
6,2,2,17.02,3.033,0.7397216902840711
6,2,3,10.56,3.1,0.9388573354018463
6,2,5,25.72,3.567,0.8942819752615652
1,3,1,14.91,2.567,1.1924963155270492
1,3,2,18.09,3.9,0.5785528637855678
1,3,3,12.31,2.833,0.7998154130643191
1,3,5,29.17,3.967,0.7803445604587137
2,3,1,13.3,2.7,1.1480111881681112
2,3,2,15.72,4.233,0.6079697877716331
2,3,3,12.3,2.9,0.7677203270163724
2,3,5,25.36,4.033,0.86015148512516
3,3,1,14.14,2.633,1.1064149388905464
3,3,2,15.37,3.367,0.699663216482786
3,3,3,10.98,3.167,0.7250472436913044
3,3,5,29.81,3.967,0.856252291639081
6,3,1,12.97,2.7,0.9709859639490637
6,3,2,15.72,3.367,0.5519051677228884
6,3,3,12.45,3.367,0.7318957753914195
6,3,5,25.59,3.767,0.8938738215878925
0.5,4,1,12.78,2.833,0.816735658366202
0.5,4,2,16.34,4.7,0.5320260246132502
0.5,4,3,12.11,3.1,0.8493489096107631
0.5,4,5,24.96,4.1,0.8888888242753957
1,4,1,14.13,2.833,0.8070321757586169
1,4,2,18.08,3.833,0.5980527166956925
1,4,3,11.53,3.033,0.8692983911491958
1,4,5,25.65,3.833,0.90192201104621
2,4,1,14.23,2.833,0.8194512683911901
2,4,2,16.89,3.233,0.7328540986066459
2,4,3,11.62,2.767,0.9432061421473569
2,4,5,23.57,3.9,0.9750399291217838
6,4,1,14.53,2.833,0.8961137924228569
6,4,2,14.24,3.1,1.0192013924226662
6,4,3,11.42,3.033,0.9177681282552371
6,4,5,22.79,3.7,0.9122691268007971
3,4,1,14.97,2.9,0.7833935999367914
3,4,2,16.03,4.9,0.6473692234674805
3,4,3,11.46,2.9,1.0321154508514718
3,4,5,23.66,3.5,1.1045595405225859
1,5,1,14.74,3.233,0.6898609092628215
1,5,2,19.88,2.833,0.7221970752869139
1,5,3,9.85,4.033,0.9004927498338261
1,5,5,25.72,4.233,0.8313631987969988
3,5,1,13.39,3.033,0.7653224343591467
3,5,2,18.38,3.833,0.6710387004302312
3,5,3,11.28,3.1,0.9754837398816268
3,5,5,26.45,4.167,0.750261833474324
0.5,5,1,15.75,3.367,0.7165921907968139
0.5,5,2,26.86,2.833,0.6539598813454072
0.5,5,3,8.99,3.633,0.8717767241221422
0.5,5,5,26.41,3.7,0.9059933175476129
2,5,1,13.1,2.967,0.7666741841555454
2,5,2,15.91,3.367,0.7591578180731485
2,5,3,11.02,3.5,0.9760465014917606
2,5,5,26.82,3.833,0.7892878636630908
6,5,1,13.81,2.767,0.9546013164958133
6,5,2,21.38,3.1,0.7524500843549392
6,5,3,11.51,2.9,1.0383792392175657
6,5,5,26.21,3.633,0.8916480254696192
0.5,6,1,14.31,2.633,0.767013345394053
0.5,6,2,23.43,2.833,1.0093178152965259
0.5,6,3,12.06,2.967,0.7848801869451748
0.5,6,5,32.75,3.9,0.9206938456477969
1,6,1,14.62,2.633,0.8429206757406345
1,6,2,24.75,2.9,1.1418202047440684
1,6,3,12.13,2.633,0.7804375171111396
1,6,5,28.27,4.3,0.8169753723070731
6,6,1,14.4,2.633,0.8043253171401956
6,6,2,21.65,3.167,0.7779890051055194
6,6,3,11.72,2.9,0.9256645596158337
6,6,5,28.38,3.833,0.8868739080337184
3,6,1,16.25,2.5,0.9027896207698505
3,6,2,22.99,2.767,0.8587188043414258
3,6,3,11.79,2.833,0.8684878501043475
3,6,5,28.76,3.833,0.9950373686420468
2,6,1,14.55,2.7,1.001070544929829
2,6,2,22.5,2.967,1.0371658637026455
2,6,3,10.81,2.5,0.9181407719572998
2,6,5,24.44,4.1,0.9378754723574948
0.5,7,1,15.57,2.9,0.9985277740059096
0.5,7,2,19.25,2.9,0.8124412383852281
0.5,7,3,10.42,3.167,0.9438247060848213
0.5,7,5,23.91,4.367,0.8813946193399116
1,7,1,15.35,2.767,0.8794004519034907
1,7,2,20.88,2.9,0.9522169067094992
1,7,3,10.59,3.033,1.0205296067268304
1,7,5,24.53,3.833,0.9505177197865944
3,7,1,15.55,2.767,0.7854854976068121
3,7,2,20.33,3.3,0.9016721911780236
3,7,3,10.82,2.833,1.149147054305195
3,7,5,23.06,3.633,1.0672534920226058
2,7,1,14.56,2.767,0.8261169151678434
2,7,2,18.62,2.9,0.8580667443666511
2,7,3,11.17,2.9,1.1428220287138586
2,7,5,23.02,3.767,1.003662262918438
6,7,1,14.09,2.833,0.8785752346167838
6,7,2,17.02,2.967,0.7101633047369557
6,7,3,12.12,2.967,1.1094377795358101
6,7,5,19.54,3.5,0.9380125900737086
0.5,8,1,16.18,2.833,0.89553410982995
0.5,8,2,14.68,3.5,0.4031223823235446
0.5,8,3,11.62,2.567,1.1118239517707604
0.5,8,5,23.99,4.033,1.0932318626391897
1,8,1,17.38,2.967,0.7908668774898246
1,8,2,18.51,4.433,0.5451558940145834
1,8,3,12.1,2.633,0.9485416032415614
1,8,5,22.85,4.233,0.9510924981543488
2,8,1,15.84,2.7,0.8988553123039914
2,8,2,16.7,3.9,0.567732263375514
2,8,3,12.42,2.633,0.9642051131248214
2,8,5,25.02,4.033,0.8272110440465441
0.5,9,1,15.98,2.567,0.9861412384605911
0.5,9,2,15.86,2.833,1.355632512949346
0.5,9,3,10.59,2.567,0.9736770104610067
0.5,9,5,27.47,3.9,0.8911416364887016
3,8,1,14.08,2.567,0.9611901385380865
3,8,2,14.84,3.567,0.6816904530323132
3,8,3,12.31,2.633,0.9481043145094705
3,8,5,24.91,4.233,0.8411944301946052
6,8,1,14.8,2.567,0.9976171393036902
6,8,2,14.75,3.167,0.7376581641983951
6,8,3,10.55,2.567,1.1944718318218246
6,8,5,24.62,3.633,0.8902745066400467
1,9,1,14.61,2.7,1.0011585809922525
1,9,2,13.78,3.1,1.0371504259067423
1,9,3,9.69,2.767,1.0147927541200306
1,9,5,23.23,4.433,0.8049289330144495
2,9,1,15.1,2.633,0.9839662293745556
2,9,2,13.63,3.1,0.9377435235333628
2,9,3,8.52,2.633,1.0464335045690323
2,9,5,22.06,4.033,1.0289127667095563
0.5,10,1,11.84,3.233,0.8005971247983898
0.5,10,2,18.48,2.567,1.4002141388408251
0.5,10,3,15.14,2.9,0.7585605413737494
0.5,10,5,26.98,3.967,0.8856159197020939
6,9,1,15.52,2.7,0.8626445742206282
6,9,2,15.12,2.967,1.038267818537519
6,9,3,10.4,2.833,0.8902989811428536
6,9,5,23.53,3.767,0.9257600612615979
2,10,1,15.15,2.9,0.7222243042732708
2,10,2,17.13,3.1,0.6998014189498258
2,10,3,11.68,2.967,0.9454460079003478
2,10,5,23.73,3.833,0.8517849101148988
1,10,1,11.76,3.033,0.7731857406678404
1,10,2,16.45,2.633,1.0246055694563603
1,10,3,13.86,2.833,0.8114602487671786
1,10,5,24.78,3.9,0.855288258717415
3,9,1,14.55,2.7,0.933546817798369
3,9,2,15.35,2.9,0.900679834751463
3,9,3,10.09,2.567,1.0044398626921804
3,9,5,25.81,3.833,0.9627363307675161
3,10,1,14.39,2.833,0.7749555847311893
3,10,2,18.53,2.833,0.8342899653097338
3,10,3,11.18,2.767,0.8894054914244283
3,10,5,22.91,3.7,0.8830657888312214
6,10,1,16.01,2.833,0.8315063331087001
6,10,2,16.63,3.167,0.967268502515325
6,10,3,11.79,3.033,0.7987628818354217
6,10,5,21.46,3.7,0.9024579973507063
0.5,11,1,13.24,3.1,0.7821409588994078
0.5,11,2,24.21,2.833,1.0200235923099066
0.5,11,3,9.4,2.567,1.2669132349107282
0.5,11,5,26.1,4.1,1.0991898778664075
3,11,1,12.89,2.767,0.8060003717794669
3,11,2,18.58,2.9,0.8382903024730985
3,11,3,10.23,2.567,1.2477411965253298
3,11,5,25.13,4.1,0.8506101584884067
1,11,1,13.71,3.167,0.6891299406922503
1,11,2,24.17,3.033,0.7498649694755443
1,11,3,8.94,2.567,1.3844811818651843
1,11,5,23.73,4.367,0.9720662945029519
2,11,1,14.12,3.033,0.8051333302263004
2,11,2,19.17,2.7,0.8783326982844681
2,11,3,8.63,2.567,1.3088703548216731
2,11,5,24.28,4.033,0.8842083584304079
6,11,1,14.94,2.767,0.8201731789446223
6,11,2,18.38,2.967,0.7633292976074606
6,11,3,10.13,2.567,1.126515080226262
6,11,5,23.45,3.767,0.8648266479267085
0.5,12,1,16.32,2.5,0.9406920052622836
0.5,12,2,16.21,2.7,1.451433292767093
0.5,12,3,16.84,2.833,0.7626091192948078
0.5,12,5,28.46,3.9,0.9342141868206821
6,12,1,15.6,2.833,0.8051243052546879
6,12,2,14.97,2.5,1.2313923973282503
6,12,3,11.9,2.833,0.975300023302374
6,12,5,23.19,3.967,0.8997263817980626
1,12,1,16.47,2.633,0.8872486091395885
1,12,2,14.8,2.433,1.5731659527692978
1,12,3,13.9,2.633,0.8850376526081812
1,12,5,24.17,4.167,0.883447173304892
2,12,1,15.03,2.767,0.894957433062933
2,12,2,14.53,2.5,1.2519063270101474
2,12,3,13.18,2.7,0.8706523878811246
2,12,5,23.01,3.9,0.9744548195314494
3,12,1,14.2,2.833,0.8039231555176332
3,12,2,13.38,2.567,1.1997039099191895
3,12,3,14.38,2.633,0.9102417667327598
3,12,5,26.88,3.633,0.9347636953374897
0.5,13,1,16.04,2.7,0.9046461839884757
0.5,13,2,22.81,2.767,0.49569147834988897
0.5,13,3,10.88,3.3,0.8956864886371596
0.5,13,5,28.84,3.9,0.9836384553892734
2,13,1,15.39,2.633,0.8657383020602671
2,13,2,18.91,3.3,0.7164300936587522
2,13,3,9.65,3.1,0.871064660336044
2,13,5,21.58,3.833,0.8854235403672494
1,13,1,15.18,2.7,0.8953465512478729
1,13,2,24.79,3.3,0.6622654403821698
1,13,3,11.05,3.167,0.8102980599200238
1,13,5,23.69,3.967,0.9334370431739335
