site,set_id,p32_label,set_effective_generation_rmin,set_likelihood_rmin,kr_used,kr_ci_low,kr_ci_high,observed_P21,calibration_factor_C,calibration_factor_mode,unit_p32_mc_replicates,unit_p32_mc_volume,mean_fracture_area,fracture_number_density_for_unit_p32,calibration_factor_std,calibration_factor_ci_low,calibration_factor_ci_high,P32_hat,P32_ci_low,P32_ci_high,P32_reference,P32_abs_error,P32_relative_error_percent,kr_adoption_status,p32_status,notes
laxemar,1,P32_r_ge_0p5m,0.5,0.5,2.75,2.3,3.05,0.7885670512980323,0.8163606885356675,forward_mc_lmin,32,329.52573447072433,2.8525579705341007,0.35056255134151204,0.12059851941890927,0.7400488549300395,1.0969822648049468,0.9659542189770437,0.9203413587675582,0.9628552340110986,0.9140547367013874,0.05189948227565633,5.677940301797416,accepted,p32_mc_pilot_candidate,v4.1 polygon window MC uses tunnel polygon clipping; rough face mesh geometry is not directly modeled yet; calibration_factor_mode=forward_mc_lmin; calibration_method=forward_mc_lmin; calibration_factor_C=0.816361; p32_method=observed_P21_over_calibration_factor; p32_ci_method=kr_only_calibration_propagation
laxemar,2,P32_r_ge_0p5m,0.9769999980926514,0.9769999980926514,2.85,2.6475,5.254999999999998,0.25184154697636396,0.31512196617519356,forward_mc_lmin,32,456.59567908061285,9.964338051595467,0.10035789581023721,0.025755471501908638,0.2868436933344004,0.3784688170348734,0.799187533744796,0.7991129886528884,0.810583385563019,1.0260000020896711,0.22681246834487512,22.10647835116203,accepted,p32_mc_pilot_candidate,v4.1 polygon window MC uses tunnel polygon clipping; rough face mesh geometry is not directly modeled yet; calibration_factor_mode=forward_mc_lmin; calibration_method=forward_mc_lmin; calibration_factor_C=0.315122; p32_method=observed_P21_over_calibration_factor; p32_ci_method=kr_only_calibration_propagation
laxemar,3,P32_r_ge_0p5m,0.8579999804496765,0.8579999804496765,3.2,2.9000000000000004,4.0,0.7734352279502762,0.7848826675336349,forward_mc_lmin,32,610.8843461102256,6.160469129555318,0.16232530006561094,0.029584720708816827,0.7500801650196603,0.8555893338764912,0.9854150944378344,0.9819964657241115,0.9934556929136513,0.9750000225114372,0.010415071926397124,1.0682124806079119,accepted,p32_mc_pilot_candidate,v4.1 polygon window MC uses tunnel polygon clipping; rough face mesh geometry is not directly modeled yet; calibration_factor_mode=forward_mc_lmin; calibration_method=forward_mc_lmin; calibration_factor_C=0.784883; p32_method=observed_P21_over_calibration_factor; p32_ci_method=kr_only_calibration_propagation
laxemar,5,P32_r_ge_0p5m,0.5,0.5,3.75,3.3,4.476249999999999,0.601593740040421,0.5939498763922685,forward_mc_lmin,32,132.00627342551593,1.6829642309623172,0.5941896931631168,0.006307628142465837,0.5853588395377107,0.6061462991715021,1.0128695432930845,1.006546747087809,1.0215075387738102,0.9796382858790327,0.03323125741405186,3.392196680454699,accepted,p32_mc_pilot_candidate,v4.1 polygon window MC uses tunnel polygon clipping; rough face mesh geometry is not directly modeled yet; calibration_factor_mode=forward_mc_lmin; calibration_method=forward_mc_lmin; calibration_factor_C=0.593950; p32_method=observed_P21_over_calibration_factor; p32_ci_method=kr_only_calibration_propagation
