set_id,cx,cy,cz,nx,ny,nz,radius,adoption,radius_status,arc_deg,n_traces,n_faces,residual_m
1,-0.4687142478215187,-0.4365870052595802,-0.45073167415769805,0.5002061584515292,-0.8241699833687977,0.2655892271178175,3.5914952226058645,deterministic_disc,determined,162.7,2,2,1.588235690022959e-08
1,0.0,-5.281789064407349,-2.657825469970703,0.18638793796539269,-0.7272383442854898,0.6605936172730617,0.5,deterministic_disc,shrinkage,0.0,1,1,1.5916796490885316e-08
1,0.0,-5.466121673583984,-1.8829401731491089,0.3390541146606588,-0.8766340198167208,0.34140167344588984,0.5,deterministic_disc,shrinkage,0.0,1,1,4.143240502950274e-08
1,0.8526033388530034,5.123931368719465,-0.49723445730162313,0.3578789117922258,-0.928505105003206,-0.09899977008759944,1.1565100004256306,deterministic_disc,determined,186.7,2,2,0.015559001896382414
1,0.0,-0.3902268707752228,-3.2979263067245483,0.25843485581879627,-0.964745677663904,0.04977150516844734,0.6040485779421154,deterministic_disc,shrinkage,0.0,1,1,3.6579338708081593e-09
1,0.5,-1.7322174857060115,-1.7383193870385487,0.47404745344783544,-0.8308738552247763,0.2914234866710982,3.3188899985426694,deterministic_disc,shrinkage,214.5,3,2,0.05587881117630254
1,0.0,1.9724488854408264,0.48965996503829956,0.3133467152776045,-0.7221623097571108,-0.6166809826733841,0.583466263076982,deterministic_disc,shrinkage,0.0,1,1,2.797381883770858e-09
1,0.0,1.625030279159546,3.423218846321106,0.309701418055424,-0.9360078132503284,0.1672555086949242,0.5,deterministic_disc,shrinkage,0.0,1,1,9.682290693066634e-09
1,1.0269599458495149,-3.8302306818469853,-1.5082648300999675,0.5962281604156335,-0.7607950621158415,-0.25632567992213046,1.2887976477733747,deterministic_disc,determined,234.4,2,2,4.839660267597115e-08
1,0.0,-2.2738873958587646,2.3785301446914673,0.35961434857939834,-0.8788633496327523,-0.31349120078259585,0.5,deterministic_disc,shrinkage,0.0,1,1,3.048034055181561e-08
1,0.0,3.9099669456481934,1.976428747177124,0.6499070546902845,-0.6692603848903493,0.3601546299580514,0.5,deterministic_disc,shrinkage,0.0,1,1,5.040362812686079e-09
1,0.0,-4.940472841262817,-0.36429208517074585,0.3303001459135642,-0.8342819052511528,-0.4414470706437917,0.5,deterministic_disc,shrinkage,0.0,1,1,5.602467715049522e-08
1,0.0,4.374290227890015,-2.150136709213257,0.3076565238728976,-0.9329694427851397,0.1868568493463143,0.7226532355652198,deterministic_disc,shrinkage,0.0,1,1,2.6761028715667434e-08
1,0.75,4.669526100158691,-3.110151559114456,0.262644611967692,-0.9348753366133151,-0.23880098994032917,1.2556878073328006,deterministic_disc,shrinkage,0.0,2,2,3.859855809627047e-08
1,0.0,1.7916465997695923,-2.55656760931015,0.3697772017328239,-0.9250403024759432,0.08697850236614815,0.6772560247695235,deterministic_disc,shrinkage,0.0,1,1,2.5744717851299964e-08
1,0.7239411590065957,-1.1221607787506696,-3.05246615590811,0.498197552071384,-0.7829472609986963,0.37254903785236143,0.9087627834241322,deterministic_disc,determined,213.2,2,2,7.939789293903887e-09
1,2.25,3.6533948481082916,0.5985988299362361,0.12812000369247073,-0.9277682884332885,0.3504729199687298,2.1234805146720883,deterministic_disc,shrinkage,59.5,4,4,1.0396029739390662e-07
1,0.75,5.003950238227844,-0.4708622479811311,0.047273267973228054,-0.8983215534039609,0.4367878487607297,1.0380470034747826,deterministic_disc,shrinkage,0.0,2,2,1.3017320838787708e-07
1,0.0,1.5142532289028168,2.1063173413276672,0.3042474976325832,-0.8233219957388452,0.4791391776059605,1.8020897368636817,deterministic_disc,shrinkage,0.0,1,1,1.085912158429377e-08
