set_id,lmin_fit,kr_window_mc,loglik,loglik_joint,loglik_length_only,loglik_class_only,mc_accepted_used,max_loglik,delta_loglik,dfn_model,generation_rmin,generation_rmax,estimation_rmin,estimation_rmax,set_likelihood_rmin,set_effective_generation_rmin,set_table_r0,set_rmin_mode,rmin_support_status,p32_label,entrypoint_script
1,0.5,2.4,-593.4387172116922,-593.4387172116922,-496.8448941021594,-99.15259215377637,70314.0,-589.9759360138238,3.4627811978683667,laxemar,0.5,250.0,0.5,250.0,0.5,0.5,0.328000009059906,effective_generation,matched,P32_r_ge_0p5m,dfn_analysis/estimate_kr.py
1,0.5,2.45,-592.3978586864062,-592.3978586864062,-496.0048124169548,-98.46561258078297,70314.0,-589.9759360138238,2.4219226725823546,laxemar,0.5,250.0,0.5,250.0,0.5,0.5,0.328000009059906,effective_generation,matched,P32_r_ge_0p5m,dfn_analysis/estimate_kr.py
1,0.5,2.5,-591.570904498873,-591.570904498873,-495.34364683390254,-97.92559562828743,70314.0,-589.9759360138238,1.5949684850492076,laxemar,0.5,250.0,0.5,250.0,0.5,0.5,0.328000009059906,effective_generation,matched,P32_r_ge_0p5m,dfn_analysis/estimate_kr.py
1,0.5,2.55,-590.936296299966,-590.936296299966,-494.84344933698674,-97.51231973653506,70314.0,-589.9759360138238,0.9603602861421905,laxemar,0.5,250.0,0.5,250.0,0.5,0.5,0.328000009059906,effective_generation,matched,P32_r_ge_0p5m,dfn_analysis/estimate_kr.py
1,0.5,2.6,-590.4751187885627,-590.4751187885627,-494.48847458937155,-97.20823828781701,70314.0,-589.9759360138238,0.49918277473886974,laxemar,0.5,250.0,0.5,250.0,0.5,0.5,0.328000009059906,effective_generation,matched,P32_r_ge_0p5m,dfn_analysis/estimate_kr.py
1,0.5,2.6500000000000004,-590.1707680433522,-590.1707680433522,-494.264910574448,-96.99814367826393,70314.0,-589.9759360138238,0.19483202952835654,laxemar,0.5,250.0,0.5,250.0,0.5,0.5,0.328000009059906,effective_generation,matched,P32_r_ge_0p5m,dfn_analysis/estimate_kr.py
1,0.5,2.7,-590.0086538811864,-590.0086538811864,-494.16063377316766,-96.86886490117844,70314.0,-589.9759360138238,0.032717867362634934,laxemar,0.5,250.0,0.5,250.0,0.5,0.5,0.328000009059906,effective_generation,matched,P32_r_ge_0p5m,dfn_analysis/estimate_kr.py
1,0.5,2.75,-589.9759360138238,-589.9759360138238,-494.1649900477242,-96.80899857949963,70314.0,-589.9759360138238,0.0,laxemar,0.5,250.0,0.5,250.0,0.5,0.5,0.328000009059906,effective_generation,matched,P32_r_ge_0p5m,dfn_analysis/estimate_kr.py
1,0.5,2.8,-590.0612923529957,-590.0612923529957,-494.26860081846985,-96.8086719710309,70314.0,-589.9759360138238,0.08535633917188079,laxemar,0.5,250.0,0.5,250.0,0.5,0.5,0.328000009059906,effective_generation,matched,P32_r_ge_0p5m,dfn_analysis/estimate_kr.py
1,0.5,2.85,-590.2547169982299,-590.2547169982299,-494.4631931453049,-96.8593356432343,70314.0,-589.9759360138238,0.27878098440612575,laxemar,0.5,250.0,0.5,250.0,0.5,0.5,0.328000009059906,effective_generation,matched,P32_r_ge_0p5m,dfn_analysis/estimate_kr.py
1,0.5,2.9000000000000004,-590.5473450507743,-590.5473450507743,-494.7414517817082,-96.95358310084738,70314.0,-589.9759360138238,0.5714090369505129,laxemar,0.5,250.0,0.5,250.0,0.5,0.5,0.328000009059906,effective_generation,matched,P32_r_ge_0p5m,dfn_analysis/estimate_kr.py
1,0.5,2.95,-590.9313012907214,-590.9313012907214,-495.0968910241012,-97.08499451590663,70314.0,-589.9759360138238,0.9553652768976235,laxemar,0.5,250.0,0.5,250.0,0.5,0.5,0.328000009059906,effective_generation,matched,P32_r_ge_0p5m,dfn_analysis/estimate_kr.py
1,0.5,3.0,-591.3995698297624,-591.3995698297624,-495.5237441305037,-97.24800175700148,70314.0,-589.9759360138238,1.423633815938615,laxemar,0.5,250.0,0.5,250.0,0.5,0.5,0.328000009059906,effective_generation,matched,P32_r_ge_0p5m,dfn_analysis/estimate_kr.py
1,0.5,3.05,-591.9458820350327,-591.9458820350327,-496.0168681573345,-97.43777207150937,70314.0,-589.9759360138238,1.969946021208898,laxemar,0.5,250.0,0.5,250.0,0.5,0.5,0.328000009059906,effective_generation,matched,P32_r_ge_0p5m,dfn_analysis/estimate_kr.py
1,0.5,3.1,-592.5646202590774,-592.5646202590774,-496.5716622101495,-97.65010799141903,70314.0,-589.9759360138238,2.588684245253603,laxemar,0.5,250.0,0.5,250.0,0.5,0.5,0.328000009059906,effective_generation,matched,P32_r_ge_0p5m,dfn_analysis/estimate_kr.py
1,0.5,3.1500000000000004,-593.2507351729089,-593.2507351729089,-497.1839972877623,-97.88136127650279,70314.0,-589.9759360138238,3.2747991590850916,laxemar,0.5,250.0,0.5,250.0,0.5,0.5,0.328000009059906,effective_generation,matched,P32_r_ge_0p5m,dfn_analysis/estimate_kr.py
1,0.5,3.2,-593.9996747615305,-593.9996747615305,-497.850156096135,-98.1283589561196,70314.0,-589.9759360138238,4.023738747706716,laxemar,0.5,250.0,0.5,250.0,0.5,0.5,0.328000009059906,effective_generation,matched,P32_r_ge_0p5m,dfn_analysis/estimate_kr.py
1,0.5,3.25,-594.8073232910039,-594.8073232910039,-498.566781403785,-98.38833976929246,70314.0,-589.9759360138238,4.831387277180056,laxemar,0.5,250.0,0.5,250.0,0.5,0.5,0.328000009059906,effective_generation,matched,P32_r_ge_0p5m,dfn_analysis/estimate_kr.py
1,0.5,3.3,-595.6699487858336,-595.6699487858336,-499.3308316953105,-98.6588995241348,70314.0,-589.9759360138238,5.694012772009842,laxemar,0.5,250.0,0.5,250.0,0.5,0.5,0.328000009059906,effective_generation,matched,P32_r_ge_0p5m,dfn_analysis/estimate_kr.py
1,0.5,3.35,-596.5841577618628,-596.5841577618628,-500.13954304917235,-98.93794409837356,70314.0,-589.9759360138238,6.608221748039,laxemar,0.5,250.0,0.5,250.0,0.5,0.5,0.328000009059906,effective_generation,matched,P32_r_ge_0p5m,dfn_analysis/estimate_kr.py
1,0.5,3.4000000000000004,-597.5468561422288,-597.5468561422288,-500.9903963179447,-99.22364898134546,70314.0,-589.9759360138238,7.570920128404964,laxemar,0.5,250.0,0.5,250.0,0.5,0.5,0.328000009059906,effective_generation,matched,P32_r_ge_0p5m,dfn_analysis/estimate_kr.py
1,0.5,3.45,-598.5552154429968,-598.5552154429968,-501.8810888234799,-99.51442441475542,70314.0,-589.9759360138238,8.57927942917297,laxemar,0.5,250.0,0.5,250.0,0.5,0.5,0.328000009059906,effective_generation,matched,P32_r_ge_0p5m,dfn_analysis/estimate_kr.py
1,0.5,3.5,-599.6066434525294,-599.6066434525294,-502.8095098964732,-99.80888532594912,70314.0,-589.9759360138238,9.630707438705599,laxemar,0.5,250.0,0.5,250.0,0.5,0.5,0.328000009059906,effective_generation,matched,P32_r_ge_0p5m,dfn_analysis/estimate_kr.py
1,0.5,3.5500000000000003,-600.6987587465217,-600.6987587465217,-503.77371969102904,-100.10582536523057,70314.0,-589.9759360138238,10.722822732697864,laxemar,0.5,250.0,0.5,250.0,0.5,0.5,0.328000009059906,effective_generation,matched,P32_r_ge_0p5m,dfn_analysis/estimate_kr.py
1,0.5,3.6,-601.8293684811802,-601.8293684811802,-504.7719307915536,-100.40419445984196,70314.0,-589.9759360138238,11.853432467356356,laxemar,0.5,250.0,0.5,250.0,0.5,0.5,0.328000009059906,effective_generation,matched,P32_r_ge_0p5m,dfn_analysis/estimate_kr.py
1,0.5,3.65,-602.9964489924176,-602.9964489924176,-505.80249220327374,-100.70307938359637,70314.0,-589.9759360138238,13.020512978593842,laxemar,0.5,250.0,0.5,250.0,0.5,0.5,0.328000009059906,effective_generation,matched,P32_r_ge_0p5m,dfn_analysis/estimate_kr.py
1,0.5,3.7,-604.1981288012346,-604.1981288012346,-506.86387538051986,-101.00168691475133,70314.0,-589.9759360138238,14.22219278741079,laxemar,0.5,250.0,0.5,250.0,0.5,0.5,0.328000009059906,effective_generation,matched,P32_r_ge_0p5m,dfn_analysis/estimate_kr.py
1,0.5,3.75,-605.4326736865381,-605.4326736865381,-507.954662000104,-101.29932921729032,70314.0,-589.9759360138238,15.456737672714326,laxemar,0.5,250.0,0.5,250.0,0.5,0.5,0.328000009059906,effective_generation,matched,P32_r_ge_0p5m,dfn_analysis/estimate_kr.py
1,0.5,3.8000000000000003,-606.6984735381694,-606.6984735381694,-509.07353323206064,-101.59541113393149,70314.0,-589.9759360138238,16.722537524345626,laxemar,0.5,250.0,0.5,250.0,0.5,0.5,0.328000009059906,effective_generation,matched,P32_r_ge_0p5m,dfn_analysis/estimate_kr.py
1,0.5,3.85,-607.9940307463146,-607.9940307463146,-510.21926029790785,-101.88941912431636,70314.0,-589.9759360138238,18.018094732490795,laxemar,0.5,250.0,0.5,250.0,0.5,0.5,0.328000009059906,effective_generation,matched,P32_r_ge_0p5m,dfn_analysis/estimate_kr.py
1,0.5,3.9000000000000004,-609.3179499200505,-609.3179499200505,-511.3906961385045,-102.18091162017228,70314.0,-589.9759360138238,19.342013906226725,laxemar,0.5,250.0,0.5,250.0,0.5,0.5,0.328000009059906,effective_generation,matched,P32_r_ge_0p5m,dfn_analysis/estimate_kr.py
1,0.5,3.95,-610.6689287585698,-610.6689287585698,-512.5867680404482,-102.46951060184027,70314.0,-589.9759360138238,20.692992744745993,laxemar,0.5,250.0,0.5,250.0,0.5,0.5,0.328000009059906,effective_generation,matched,P32_r_ge_0p5m,dfn_analysis/estimate_kr.py
1,0.5,4.0,-612.0457499245897,-612.0457499245897,-513.8064710925814,-102.754894228332,70314.0,-589.9759360138238,22.0698139107659,laxemar,0.5,250.0,0.5,250.0,0.5,0.5,0.328000009059906,effective_generation,matched,P32_r_ge_0p5m,dfn_analysis/estimate_kr.py
1,0.5,4.050000000000001,-613.4472737913333,-613.4472737913333,-515.0488623632133,-103.03679037676254,70314.0,-589.9759360138238,23.47133777750946,laxemar,0.5,250.0,0.5,250.0,0.5,0.5,0.328000009059906,effective_generation,matched,P32_r_ge_0p5m,dfn_analysis/estimate_kr.py
1,0.5,4.1,-614.8724319529451,-614.8724319529451,-516.3130557047151,-103.31497096727938,70314.0,-589.9759360138238,24.896495939121337,laxemar,0.5,250.0,0.5,250.0,0.5,0.5,0.328000009059906,effective_generation,matched,P32_r_ge_0p5m,dfn_analysis/estimate_kr.py
1,0.5,4.15,-616.3202214038216,-616.3202214038216,-517.5982171056745,-103.58924696697613,70314.0,-589.9759360138238,26.34428538999782,laxemar,0.5,250.0,0.5,250.0,0.5,0.5,0.328000009059906,effective_generation,matched,P32_r_ge_0p5m,dfn_analysis/estimate_kr.py
1,0.5,4.2,-617.7896993055401,-617.7896993055401,-518.9035605222133,-103.85946398121322,70314.0,-589.9759360138238,27.813763291716327,laxemar,0.5,250.0,0.5,250.0,0.5,0.5,0.328000009059906,effective_generation,matched,P32_r_ge_0p5m,dfn_analysis/estimate_kr.py
1,0.5,4.25,-619.279978271287,-619.279978271287,-520.2283441297316,-104.12549835363173,70314.0,-589.9759360138238,29.304042257463152,laxemar,0.5,250.0,0.5,250.0,0.5,0.5,0.328000009059906,effective_generation,matched,P32_r_ge_0p5m,dfn_analysis/estimate_kr.py
1,0.5,4.300000000000001,-620.7902221071865,-620.7902221071865,-521.5718669445104,-104.38725370724444,70314.0,-589.9759360138238,30.81428609336274,laxemar,0.5,250.0,0.5,250.0,0.5,0.5,0.328000009059906,effective_generation,matched,P32_r_ge_0p5m,dfn_analysis/estimate_kr.py
1,0.5,4.35,-622.3196419580322,-622.3196419580322,-522.933465771539,-104.64465786858119,70314.0,-589.9759360138238,32.34370594420841,laxemar,0.5,250.0,0.5,250.0,0.5,0.5,0.328000009059906,effective_generation,matched,P32_r_ge_0p5m,dfn_analysis/estimate_kr.py
1,0.5,4.4,-623.8674928118237,-623.8674928118237,-524.3125124408193,-104.89766012515996,70314.0,-589.9759360138238,33.8915567979999,laxemar,0.5,250.0,0.5,250.0,0.5,0.5,0.328000009059906,effective_generation,matched,P32_r_ge_0p5m,dfn_analysis/estimate_kr.py
1,0.5,4.45,-625.43307032341,-625.43307032341,-525.7084112994139,-105.14622877372045,70314.0,-589.9759360138238,35.457134309586195,laxemar,0.5,250.0,0.5,250.0,0.5,0.5,0.328000009059906,effective_generation,matched,P32_r_ge_0p5m,dfn_analysis/estimate_kr.py
1,0.5,4.5,-627.0157079225835,-627.0157079225835,-527.1205969307816,-105.39034892285036,70314.0,-589.9759360138238,37.03977190875969,laxemar,0.5,250.0,0.5,250.0,0.5,0.5,0.328000009059906,effective_generation,matched,P32_r_ge_0p5m,dfn_analysis/estimate_kr.py
1,0.5,4.550000000000001,-628.6147741763127,-628.6147741763127,-528.5485320765955,-105.63002051896146,70314.0,-589.9759360138238,38.63883816248892,laxemar,0.5,250.0,0.5,250.0,0.5,0.5,0.328000009059906,effective_generation,matched,P32_r_ge_0p5m,dfn_analysis/estimate_kr.py
1,0.5,4.6,-630.229670378516,-630.229670378516,-529.9917057393761,-105.8652565691545,70314.0,-589.9759360138238,40.25373436469215,laxemar,0.5,250.0,0.5,250.0,0.5,0.5,0.328000009059906,effective_generation,matched,P32_r_ge_0p5m,dfn_analysis/estimate_kr.py
1,0.5,4.65,-631.8598283440065,-631.8598283440065,-531.4496314469593,-106.09608153842592,70314.0,-589.9759360138238,41.883892330182675,laxemar,0.5,250.0,0.5,250.0,0.5,0.5,0.328000009059906,effective_generation,matched,P32_r_ge_0p5m,dfn_analysis/estimate_kr.py
1,0.5,4.7,-633.5047083860028,-633.5047083860028,-532.9218456621305,-106.32252990199997,70314.0,-589.9759360138238,43.52877237217899,laxemar,0.5,250.0,0.5,250.0,0.5,0.5,0.328000009059906,effective_generation,matched,P32_r_ge_0p5m,dfn_analysis/estimate_kr.py
1,0.5,4.75,-635.1637974590149,-635.1637974590149,-534.4079063227618,-106.54464483639224,70314.0,-589.9759360138238,45.18786144519106,laxemar,0.5,250.0,0.5,250.0,0.5,0.5,0.328000009059906,effective_generation,matched,P32_r_ge_0p5m,dfn_analysis/estimate_kr.py
1,0.5,4.800000000000001,-636.8366074509981,-636.8366074509981,-535.9073914995074,-106.76247703517578,70314.0,-589.9759360138238,46.86067143717435,laxemar,0.5,250.0,0.5,250.0,0.5,0.5,0.328000009059906,effective_generation,matched,P32_r_ge_0p5m,dfn_analysis/estimate_kr.py
1,0.5,4.85,-638.5226736104905,-638.5226736104905,-537.4198981596151,-106.97608363740635,70314.0,-589.9759360138238,48.54673759666673,laxemar,0.5,250.0,0.5,250.0,0.5,0.5,0.328000009059906,effective_generation,matched,P32_r_ge_0p5m,dfn_analysis/estimate_kr.py
1,0.5,4.9,-640.2215530960274,-640.2215530960274,-538.9450410267135,-107.18552725830013,70314.0,-589.9759360138238,50.24561708220358,laxemar,0.5,250.0,0.5,250.0,0.5,0.5,0.328000009059906,effective_generation,matched,P32_r_ge_0p5m,dfn_analysis/estimate_kr.py
1,0.5,4.95,-641.9328236365228,-641.9328236365228,-540.4824515275634,-107.39087511311475,70314.0,-589.9759360138238,51.956887622699014,laxemar,0.5,250.0,0.5,250.0,0.5,0.5,0.328000009059906,effective_generation,matched,P32_r_ge_0p5m,dfn_analysis/estimate_kr.py
1,0.5,5.0,-643.6560822925127,-643.6560822925127,-542.0317768177539,-107.59219822629231,70314.0,-589.9759360138238,53.68014627868888,laxemar,0.5,250.0,0.5,250.0,0.5,0.5,0.328000009059906,effective_generation,matched,P32_r_ge_0p5m,dfn_analysis/estimate_kr.py
1,0.5,5.050000000000001,-645.3909443092284,-645.3909443092284,-543.5926788791899,-107.78957071882782,70314.0,-589.9759360138238,55.41500829540462,laxemar,0.5,250.0,0.5,250.0,0.5,0.5,0.328000009059906,effective_generation,matched,P32_r_ge_0p5m,dfn_analysis/estimate_kr.py
1,0.5,5.1,-647.1370420534033,-647.1370420534033,-545.1648336829749,-107.98306916756525,70314.0,-589.9759360138238,57.16110603957952,laxemar,0.5,250.0,0.5,250.0,0.5,0.5,0.328000009059906,effective_generation,matched,P32_r_ge_0p5m,dfn_analysis/estimate_kr.py
1,0.5,5.15,-648.8940240265454,-648.8940240265454,-546.7479304119613,-108.17277203072234,70314.0,-589.9759360138238,58.91808801272157,laxemar,0.5,250.0,0.5,250.0,0.5,0.5,0.328000009059906,effective_generation,matched,P32_r_ge_0p5m,dfn_analysis/estimate_kr.py
1,0.5,5.2,-650.661553948141,-650.661553948141,-548.3416707378269,-108.3587591344378,70314.0,-589.9759360138238,60.68561793431718,laxemar,0.5,250.0,0.5,250.0,0.5,0.5,0.328000009059906,effective_generation,matched,P32_r_ge_0p5m,dfn_analysis/estimate_kr.py
1,0.5,5.25,-652.439309902899,-652.439309902899,-549.9457681480587,-108.54111121554187,70314.0,-589.9759360138238,62.46337388907523,laxemar,0.5,250.0,0.5,250.0,0.5,0.5,0.328000009059906,effective_generation,matched,P32_r_ge_0p5m,dfn_analysis/estimate_kr.py
1,0.5,5.300000000000001,-654.2269835467253,-654.2269835467253,-551.5599473186769,-108.71990951608971,70314.0,-589.9759360138238,64.25104753290145,laxemar,0.5,250.0,0.5,250.0,0.5,0.5,0.328000009059906,effective_generation,matched,P32_r_ge_0p5m,dfn_analysis/estimate_kr.py
1,0.5,5.35,-656.0242793666205,-656.0242793666205,-553.1839435289481,-108.89523542549237,70314.0,-589.9759360138238,66.04834335279668,laxemar,0.5,250.0,0.5,250.0,0.5,0.5,0.328000009059906,effective_generation,matched,P32_r_ge_0p5m,dfn_analysis/estimate_kr.py
1,0.5,5.4,-657.8309139901601,-657.8309139901601,-554.8175021146892,-109.06717016633404,70314.0,-589.9759360138238,67.85497797633627,laxemar,0.5,250.0,0.5,250.0,0.5,0.5,0.328000009059906,effective_generation,matched,P32_r_ge_0p5m,dfn_analysis/estimate_kr.py
