site,set_id,best_lmin_fit,kr_hat,kr_true,kr_abs_error,set_effective_generation_rmin,set_likelihood_rmin,generation_rmax,fit_status,recovery_status,adoption_status,q90_ratio_model_observed,q95_ratio_model_observed,class_fraction_l1_error,kr_boot_mean,kr_boot_std,kr_ci_low,kr_ci_high,bootstrap_boundary_fraction,n_total,n_used,notes
laxemar,1,0.5,2.75,2.85,0.10000000000000009,0.5,0.5,250.0,ok,good_recovery,accepted,0.8014284423091222,0.8520374797421804,0.13905530122153345,2.7500000000000004,0.13435028842544403,2.5237499999999997,3.05,0.0,159,142,v4.1 polygon window MC uses tunnel polygon clipping; rough face mesh geometry is not directly modeled yet
laxemar,2,0.5,2.85,3.04,0.18999999999999995,0.9769999980926514,0.9769999980926514,250.0,class_fraction_mismatch,good_recovery,rejected,0.8530477780747208,1.0091403362835483,0.3437915448019144,2.9460000000000006,0.3025458642916806,2.5,3.5262499999999997,0.0,43,40,v4.1 polygon window MC uses tunnel polygon clipping; rough face mesh geometry is not directly modeled yet
laxemar,3,0.5,3.1500000000000004,3.01,0.14000000000000057,0.8579999804496765,0.8579999804496765,250.0,ok,good_recovery,accepted,0.8869886086770941,0.9096509462100604,0.09217759325415974,3.177000000000001,0.1669460990859026,2.8737500000000002,3.5500000000000003,0.0,132,120,v4.1 polygon window MC uses tunnel polygon clipping; rough face mesh geometry is not directly modeled yet
laxemar,5,0.5,3.85,3.6,0.25,0.5,0.5,250.0,ok,good_recovery,accepted,0.9097964966271054,0.9165785978705264,0.1471378648542534,3.8635,0.2365221976897729,3.5,4.37625,0.0,183,159,v4.1 polygon window MC uses tunnel polygon clipping; rough face mesh geometry is not directly modeled yet
