trace_id,face_id,p0_x,p0_y,p0_z,p1_x,p1_y,p1_z,set_id,x_face,x_face_nominal,dx,parent_fracture_id,normal_x,normal_y,normal_z,confidence
1,1,6.0,3.2702372074127197,4.333057403564453,6.0,3.1232545375823975,6.34571647644043,1,6.0,6.0,0.0,87749,-0.15461336076259613,0.9853509664535522,0.07195919752120972,1.0
2,1,6.0,1.4764344692230225,3.283588171005249,6.0,1.9595160484313965,3.706578493118286,1,6.0,6.0,0.0,353074,-0.6153379678726196,0.5192795991897583,-0.5930497050285339,1.0
3,1,6.0,1.3302943706512451,7.392353057861328,6.0,1.4823868256816193,7.735530543161518,1,6.0,6.0,0.0,395597,-0.6778789758682251,0.6721228957176208,-0.2978772819042206,1.0
4,1,6.0,-4.989133834838867,0.22882080078125,6.0,-4.9029741287231445,2.2414913177490234,1,6.0,6.0,0.0,438281,0.05866362527012825,0.997364342212677,-0.04269568622112274,1.0
5,1,6.0,1.9326434135437012,6.840865612030029,6.0,1.6413220483275928,7.691330354139948,1,6.0,6.0,0.0,465773,-0.37445032596588135,0.8772098422050476,0.30048272013664246,1.0
6,1,6.0,-2.0843777656555176,6.685036659240723,6.0,-2.1187701947393074,7.52491490812448,1,6.0,6.0,0.0,602883,-0.34253665804862976,0.9387177228927612,0.03843991830945015,1.0
7,1,6.0,1.2675257731708278,0.0,6.0,1.4620730876922607,3.1125240325927734,1,6.0,6.0,0.0,724122,-0.014986601658165455,0.997940182685852,-0.06237592175602913,1.0
8,1,6.0,1.4620885848999023,4.852869033813477,6.0,-1.4165937900543213,3.7144272327423096,2,6.0,6.0,0.0,791567,0.9228619337081909,-0.14163532853126526,0.3581414222717285,1.0
9,1,6.0,-0.5678558349609375,5.570728302001953,6.0,-2.6901438315736956,7.247443033933763,2,6.0,6.0,0.0,931180,0.9931816458702087,0.07226890325546265,0.0914737731218338,1.0
10,1,6.0,-3.8247071149057863,6.4025993434672355,6.0,-2.5665879249572754,3.226517915725708,2,6.0,6.0,0.0,1317917,0.923066258430481,-0.3576062023639679,-0.14165610074996948,1.0
11,1,6.0,4.7179691042237595,5.278588807547619,6.0,3.745774984359741,3.4739911556243896,2,6.0,6.0,0.0,1373568,0.8792243599891663,-0.41941606998443604,0.22595277428627014,1.0
12,1,6.0,5.064018575009316,4.601117031284222,6.0,3.620826482772827,4.147319316864014,2,6.0,6.0,0.0,1376986,0.9528719186782837,-0.09099994599819183,0.2894030511379242,1.0
13,1,6.0,-4.330698013305664,5.325139999389648,6.0,-4.935144084714008,4.906977711070033,2,6.0,6.0,0.0,1476386,0.9346061944961548,-0.2023608535528183,0.29250869154930115,1.0
14,1,6.0,-0.2169722318649292,0.6226709485054016,6.0,-2.122570037841797,0.40900152921676636,2,6.0,6.0,0.0,1744226,0.8323612809181213,-0.0617576465010643,0.5507819056510925,1.0
15,1,6.0,-5.410873625503438,3.5066816195195645,6.0,-4.454777240753174,2.8094258308410645,2,6.0,6.0,0.0,1914182,0.8342793583869934,-0.3248664438724518,-0.4454658031463623,1.0
16,1,6.0,1.3574061393737793,6.568724632263184,6.0,2.1153926849365234,7.066176414489746,2,6.0,6.0,0.0,1993697,0.9545296430587769,0.16356849670410156,-0.24923576414585114,1.0
17,1,6.0,-3.164896692659791,6.9400500119808095,6.0,-0.09541726112365723,2.795379161834717,2,6.0,6.0,0.0,2022311,0.7458259463310242,-0.5353222489356995,-0.3964514136314392,1.0
18,1,6.0,0.8619817495346069,3.420581340789795,6.0,2.0749564170837402,1.5400487184524536,2,6.0,6.0,0.0,2065645,0.8027215600013733,-0.5011473298072815,-0.3232482969760895,1.0
19,1,6.0,-1.517511045483921,7.725762430538963,6.0,-1.5225465297698975,6.995602607727051,2,6.0,6.0,0.0,2104618,0.922343909740448,-0.38636070489883423,0.002664505038410425,1.0
20,1,6.0,3.6153624057769775,3.0932986736297607,6.0,4.051782131195068,2.890873670578003,2,6.0,6.0,0.0,2282507,0.9823436737060547,-0.07872031629085541,-0.16971752047538757,1.0
21,1,6.0,4.908522852703377,4.970158470123665,6.0,3.284422147277392,0.0,2,6.0,6.0,0.0,2451116,0.8303531408309937,-0.5296755433082581,0.17308229207992554,1.0
22,1,6.0,-1.2382233142852783,0.1689472198486328,6.0,-1.1821015212639017,0.0,3,6.0,6.0,0.0,2631257,-0.8119320273399353,-0.5539862513542175,-0.1840261071920395,1.0
23,1,6.0,-3.036271540667764,7.034407280718612,6.0,-2.957453489303589,6.802436351776123,3,6.0,6.0,0.0,2633357,-0.3320249021053314,-0.8931240439414978,-0.30346164107322693,1.0
24,1,6.0,0.3089284896850586,3.417818784713745,6.0,0.34832775592803955,1.5225155353546143,3,6.0,6.0,0.0,2634723,-0.6936162710189819,-0.720189094543457,-0.014971188269555569,1.0
25,1,6.0,3.4330157574317197,6.743362332653669,6.0,2.8360328674316406,5.786585330963135,3,6.0,6.0,0.0,2640181,-0.18650475144386292,-0.8335117697715759,0.5200712084770203,1.0
26,1,6.0,1.272174102749926,7.793991102964654,6.0,2.9382438037984127,0.0,3,6.0,6.0,0.0,2673183,-0.4985293745994568,-0.8477209806442261,-0.1812116503715515,1.0
27,1,6.0,3.815543554553593,6.412297688792106,6.0,2.911714553833008,4.797492504119873,3,6.0,6.0,0.0,2702283,-0.679115355014801,-0.6405250430107117,0.3585108816623688,1.0
28,1,6.0,-0.05177655816078186,2.6799936294555664,6.0,0.2862117290496826,0.2433323860168457,3,6.0,6.0,0.0,2703596,-0.2587142884731293,-0.9567932486534119,-0.13271641731262207,1.0
29,1,6.0,-5.377562873100851,3.653764509428165,6.0,-4.946379661560059,2.9244327545166016,3,6.0,6.0,0.0,2861386,-0.21463987231254578,-0.8407528400421143,-0.49705570936203003,1.0
30,1,6.0,-1.2064917087554932,2.310823440551758,6.0,-2.894903753758346,0.0,3,6.0,6.0,0.0,2883837,-0.7707540988922119,-0.514443576335907,0.3758801817893982,1.0
31,1,6.0,0.6292585134506226,1.6487666368484497,6.0,0.49291325234958877,0.0,3,6.0,6.0,0.0,2927405,-0.5711547136306763,-0.8180500864982605,0.06764891743659973,1.0
32,1,6.0,-1.7058964967727661,5.017916202545166,6.0,-1.7327150106430054,2.98317289352417,3,6.0,6.0,0.0,2955522,-0.6629148125648499,-0.7486298084259033,0.009867151267826557,1.0
33,1,6.0,-4.9441304206848145,2.390294313430786,6.0,-3.901606595377551,0.0,3,6.0,6.0,0.0,3113970,-0.8831846117973328,-0.4299141764640808,-0.1875065565109253,1.0
34,1,6.0,-4.158271312713623,4.507110595703125,6.0,-4.582083225250244,3.6724910736083984,3,6.0,6.0,0.0,3177034,-0.8363452553749084,-0.48879513144493103,0.24820540845394135,1.0
35,1,6.0,2.8264007568359375,6.746881484985352,6.0,2.3244495391845703,4.568233489990234,3,6.0,6.0,0.0,3404117,0.13144811987876892,-0.9660154581069946,0.22256581485271454,1.0
36,1,6.0,0.17242167826032007,7.945733939119326,6.0,-0.007825255393981934,7.507877349853516,3,6.0,6.0,0.0,3418631,-0.45699578523635864,-0.8225034475326538,0.3385896682739258,1.0
37,1,6.0,-5.397796630859375,2.486922025680542,6.0,-5.268339749212942,0.6882798470624023,3,6.0,6.0,0.0,3420331,-0.017155086621642113,-0.9972730875015259,-0.07177838683128357,1.0
38,1,6.0,2.6542324914578757,7.264882387457043,6.0,1.7157421266233925,0.0,3,6.0,6.0,0.0,3547316,-0.39912399649620056,-0.9093408584594727,0.11747026443481445,1.0
39,1,6.0,-4.723941802978516,5.048308849334717,6.0,-1.1520652770996094,0.6242971420288086,3,6.0,6.0,0.0,3588423,-0.508601725101471,-0.6699097752571106,-0.5408744215965271,1.0
40,1,6.0,0.44528070092201233,2.964946985244751,6.0,0.3777352273464203,2.498021364212036,3,6.0,6.0,0.0,3682856,-0.3621598482131958,-0.922513484954834,0.13345079123973846,1.0
41,1,6.0,0.10373843953294326,1.7763568394002505e-15,6.0,5.334232826882246,3.845087369406876,4,6.0,6.0,0.0,3878550,0.28064313530921936,0.5685006380081177,-0.7733346223831177,1.0
42,1,6.0,-2.4468178749084473,3.34698486328125,6.0,-0.6359584331512451,4.390585899353027,4,6.0,6.0,0.0,3884857,-0.22156143188476562,0.48690852522850037,-0.844884991645813,1.0
43,1,6.0,-5.365277369651774,3.7080108779710756,6.0,-2.5710093835844083,7.305297398281772,4,6.0,6.0,0.0,3884933,0.3446139693260193,0.7413616180419922,-0.5758681893348694,1.0
44,1,6.0,-5.517788137047533,1.9105250694678935,6.0,-3.079310178756714,4.720001220703125,4,6.0,6.0,0.0,3885537,-0.29492509365081787,0.72161865234375,-0.6263271570205688,1.0
45,1,6.0,-5.535839093824819,2.0492497252274773,6.0,-4.007394313812256,3.0186092853546143,4,6.0,6.0,0.0,3909829,-0.0017708702944219112,0.5355813503265381,-0.8444818258285522,1.0
46,1,6.0,2.57574462890625,5.041229724884033,6.0,4.4120091887444195,5.74934769294189,4,6.0,6.0,0.0,3930309,-0.3252229690551758,0.3402434289455414,-0.8823063373565674,1.0
47,1,6.0,-5.103292806163203,0.19454021824727397,6.0,-0.9513711929321289,2.047090530395508,4,6.0,6.0,0.0,3931480,-0.05981489270925522,0.40674033761024475,-0.9115834832191467,1.0
48,1,6.0,-1.073765754699707,6.2445759773254395,6.0,2.6467272208375205,7.268527115479282,4,6.0,6.0,0.0,3933064,-0.016284096986055374,0.26531776785850525,-0.9640235304832458,1.0
49,1,6.0,-5.331574313693229,3.856825975547461,6.0,1.6773779628590155,7.681303135433469,4,6.0,6.0,0.0,3934136,0.17523141205310822,0.4715772271156311,-0.8642389178276062,1.0
50,1,6.0,-5.089288756283111,4.54114275084282,6.0,-0.257348273108307,7.938034230254383,4,6.0,6.0,0.0,3938383,-0.40469712018966675,0.5259121060371399,-0.7480887174606323,1.0
51,1,6.0,-0.9233880043029785,2.4358043670654297,6.0,4.1975048102962385,6.008045191232303,4,6.0,6.0,0.0,3942815,-0.04994577541947365,0.5714163780212402,-0.8191390037536621,1.0
52,1,6.0,-4.327327781530313,5.870645757198166,6.0,-2.4308738708496094,6.30836820602417,4,6.0,6.0,0.0,3945818,0.29396840929985046,0.21496109664440155,-0.9313293099403381,1.0
53,1,6.0,1.588623046875,3.1450672149658203,6.0,4.591358780045345,5.473395159864257,4,6.0,6.0,0.0,3949402,0.08691864460706711,0.6104511618614197,-0.7872703075408936,1.0
54,1,6.0,-0.005192628860203996,0.0,6.0,3.1479601860046387,6.189647674560547,4,6.0,6.0,0.0,3964077,0.014577568508684635,0.8909485340118408,-0.4538702368736267,1.0
55,1,6.0,-5.518699991816943,2.68977076562233,6.0,-4.700739860534668,3.224355697631836,4,6.0,6.0,0.0,3967207,-0.27636101841926575,0.5257741212844849,-0.8044788241386414,1.0
56,1,6.0,3.2769353705054147,-8.881784197001252e-16,6.0,5.517501570527054,1.908322757291546,4,6.0,6.0,0.0,3973543,0.20341730117797852,0.6348490715026855,-0.745377779006958,1.0
57,1,6.0,-3.4066845624618214,0.0,6.0,-2.9218082427978516,0.14761042594909668,4,6.0,6.0,0.0,3980593,0.44473233819007874,0.2608465254306793,-0.8568385243415833,1.0
58,1,6.0,-3.9598467962658352,6.259572916341746,6.0,2.904587736281181,7.131008325899035,4,6.0,6.0,0.0,3992991,-0.3026297986507416,0.12003307789564133,-0.9455195665359497,1.0
59,1,6.0,-0.4648580181938473,0.0,6.0,4.40081286299994,5.766574687594847,4,6.0,6.0,0.0,4000087,0.039077028632164,0.7636996507644653,-0.6443879008293152,1.0
60,1,6.0,-5.312282681070286,0.8197355799792829,6.0,5.3195900198318675,3.9097423598229994,4,6.0,6.0,0.0,4002460,0.3861214816570282,0.2574440836906433,-0.885794997215271,1.0
61,1,6.0,-2.617898941040039,0.44018125534057617,6.0,0.22043079467382798,7.941381283512341,4,6.0,6.0,0.0,4007496,0.3179517984390259,0.8867498636245728,-0.33553141355514526,1.0
62,1,6.0,-2.55333455833805,-4.440892098500626e-16,6.0,1.8306385233032714,7.638681080810137,4,6.0,6.0,0.0,4018219,0.43005287647247314,0.7830122113227844,-0.4493844509124756,1.0
63,1,6.0,-1.0938516855239868,3.5548226833343506,6.0,1.8096643686294556,4.979800701141357,4,6.0,6.0,0.0,4029604,0.14469748735427856,0.4359407424926758,-0.8882670402526855,1.0
64,1,6.0,0.5903168753998624,-8.881784197001252e-16,6.0,2.5492095947265625,1.4596490859985352,4,6.0,6.0,0.0,4032961,-0.12664569914340973,0.5926917791366577,-0.79541015625,1.0
65,1,6.0,-5.305967639565511,0.8008440683226274,6.0,-2.3124303817749023,2.2410237789154053,4,6.0,6.0,0.0,4037148,-0.0638054683804512,0.43265044689178467,-0.8993011116981506,1.0
66,1,6.0,-3.1335151584284073,6.963070982708672,6.0,2.9853324964729424,7.0717753149475255,4,6.0,6.0,0.0,4068000,-0.1404237151145935,0.017586663365364075,-0.9899352788925171,1.0
67,1,6.0,2.9490013122558594,2.491211414337158,6.0,5.074609130670462,4.575982231166643,4,6.0,6.0,0.0,4075733,-0.01693367213010788,0.7001150846481323,-0.7138291597366333,1.0
68,1,6.0,-5.469086112830116,1.536241776470498,6.0,5.062722957050511,4.604191950057627,4,6.0,6.0,0.0,4078059,0.5304339528083801,0.23709075152873993,-0.813896656036377,1.0
69,1,6.0,3.2119102478027344,1.7258656024932861,6.0,5.496782277154509,1.7490914835063704,4,6.0,6.0,0.0,4078466,-0.003783589694648981,0.01016447227448225,-0.9999411702156067,1.0
70,1,6.0,-3.2244699449311653,0.0,6.0,-0.5469398498535156,2.7534523010253906,4,6.0,6.0,0.0,4080215,0.09924877434968948,0.7133820652961731,-0.6937115788459778,1.0
71,1,6.0,-2.7754087448120117,4.341655731201172,6.0,0.19939470291137695,5.011055946350098,4,6.0,6.0,0.0,4113548,-0.15336623787879944,0.2169366031885147,-0.9640629291534424,1.0
72,1,6.0,2.421173658598762,0.0,6.0,5.422653082277598,3.454669688868531,4,6.0,6.0,0.0,4114994,-0.07851338386535645,0.7525544762611389,-0.6538328528404236,1.0
73,1,6.0,-5.052901929801518,0.0437953929826862,6.0,0.7524223327636719,3.9654102325439453,4,6.0,6.0,0.0,4140642,-0.31182101368904114,0.5318594574928284,-0.7873329520225525,1.0
74,1,6.0,-1.492722988128662,6.396890640258789,6.0,0.4250185489654541,5.772910118103027,5,6.0,6.0,0.0,4362767,-0.8005918264389038,-0.18539957702159882,-0.5698067545890808,1.0
75,1,6.0,-2.1562695503234863,4.829864501953125,6.0,-0.8683995008468628,3.2494728565216064,5,6.0,6.0,0.0,4444702,-0.7938519716262817,-0.4714079797267914,-0.3841530680656433,1.0
76,1,6.0,-2.508026599884033,7.221433162689209,6.0,-0.9551343072211156,7.874770781127418,5,6.0,6.0,0.0,4480390,-0.9102508425712585,0.1605709046125412,-0.38165482878685,1.0
77,1,6.0,-0.05514967441558838,0.3422176241874695,6.0,0.22133506972597855,0.0,5,6.0,6.0,0.0,4512519,-0.6310766935348511,-0.6033974885940552,-0.48749738931655884,1.0
