Block_ID,Volume,Centroid_X,Centroid_Y,Centroid_Z,Material_ID
968,29.00400000000001,-2.2289445400238037,-1.3535816669464111,-5.023540019989014,NaN
300,16.429000000000006,-13.538514137268066,-6.258620738983154,-3.7656824588775635,NaN
453,10.168000000000003,-5.779932975769043,-6.051222324371338,-3.698232889175415,NaN
1601,7.980000000000002,8.486993789672852,0.024625224992632866,-4.465766429901123,NaN
1964,7.653000000000002,7.999242305755615,5.66619873046875,2.9480831623077393,NaN
1853,7.3290000000000015,14.167858123779297,2.8418643474578857,-4.53357458114624,NaN
1464,6.003000000000001,6.85291862487793,5.641545295715332,-2.8609981536865234,NaN
2333,5.859000000000002,12.706584930419922,-3.618563652038574,3.4102225303649902,NaN
705,5.725000000000001,-9.641679763793945,-1.8151541948318481,-4.641058921813965,NaN
1512,4.554000000000001,3.2472739219665527,5.660192489624023,1.1950737237930298,NaN
2487,4.3980000000000015,14.62732219696045,-6.006735324859619,-3.8018901348114014,NaN
1782,4.383000000000001,6.714322566986084,-5.742231369018555,0.2804975211620331,NaN
942,4.370000000000001,-4.166351795196533,-5.313586235046387,0.8558967113494873,NaN
1234,3.787000000000001,-0.8631913065910339,5.953768253326416,-0.43405672907829285,NaN
2148,3.732000000000001,12.001774787902832,-5.77041482925415,-0.22953461110591888,NaN
580,3.616000000000001,-11.936870574951172,-4.287270545959473,2.7957046031951904,NaN
1870,3.2930000000000006,6.380334377288818,-1.469769835472107,4.876681804656982,NaN
1538,3.282000000000001,2.93023943901062,2.917005777359009,4.152914524078369,NaN
1456,3.145000000000001,3.7048304080963135,2.364794969558716,3.822136163711548,NaN
269,3.138000000000001,-14.086542129516602,-3.4896581172943115,2.9964535236358643,NaN
2598,2.843000000000001,15.567987442016602,4.092483997344971,-5.195657253265381,NaN
2767,2.5860000000000007,15.049494743347168,-4.825344562530518,-4.360327243804932,NaN
2638,2.4910000000000005,18.28713607788086,-5.752620220184326,-0.3155621588230133,NaN
2790,2.3240000000000007,15.550628662109375,-1.4705365896224976,-4.415535926818848,NaN
1188,2.2290000000000005,-2.940495729446411,2.9683120250701904,3.6694607734680176,NaN
424,2.2190000000000003,-14.721661567687988,3.5338499546051025,3.3928475379943848,NaN
2441,2.2050000000000005,13.940352439880371,3.2474608421325684,3.1105802059173584,NaN
647,2.1440000000000006,-10.739498138427734,3.41607403755188,3.491034984588623,NaN
2548,2.1190000000000007,13.85161018371582,-6.409407615661621,-2.169919490814209,NaN
2084,2.0630000000000006,8.742566108703613,1.6495896577835083,4.714118957519531,NaN
2297,2.0510000000000006,12.669303894042969,2.0694501399993896,-4.15487813949585,NaN
215,2.0300000000000007,-18.114505767822266,6.099062442779541,-0.3844395875930786,NaN
2396,2.0090000000000003,12.792601585388184,-5.5748467445373535,0.37040138244628906,NaN
615,1.9580000000000004,-12.17661190032959,-2.2022712230682373,-4.996324062347412,NaN
2780,1.9050000000000005,14.564901351928711,-2.412963390350342,-4.572784423828125,NaN
392,1.9040000000000004,-14.121861457824707,-1.2844078540802002,-4.605463981628418,NaN
1015,1.7920000000000005,-5.337593078613281,3.2115581035614014,3.167010545730591,NaN
634,1.7730000000000004,-8.649148941040039,-3.212301731109619,3.5700690746307373,NaN
1813,1.7500000000000004,6.739319801330566,2.0778441429138184,4.178618431091309,NaN
242,1.7390000000000003,-18.805700302124023,-5.867133617401123,-3.369266986846924,NaN
2122,1.7100000000000004,8.844456672668457,4.613107681274414,2.3843772411346436,NaN
1863,1.6450000000000005,9.408246040344238,3.5691304206848145,-4.260519027709961,NaN
2036,1.5240000000000005,8.263643264770508,-1.6699492931365967,4.17006778717041,NaN
2794,1.4340000000000004,16.40991973876953,3.7127115726470947,-4.380127906799316,NaN
1455,1.3780000000000003,1.7273868322372437,0.6330839395523071,-4.164515972137451,NaN
1723,1.2800000000000002,4.3623762130737305,-5.115413665771484,-4.32672119140625,NaN
1176,1.2580000000000002,-4.021383285522461,3.8341028690338135,3.269386053085327,NaN
144,1.1550000000000002,-17.95049285888672,2.9949989318847656,-4.14186429977417,NaN
1824,1.0970000000000002,5.073176860809326,3.339242935180664,3.170865774154663,NaN
994,1.0900000000000003,-7.78369665145874,3.768819808959961,2.9722845554351807,NaN
509,1.0540000000000003,-13.023294448852539,-0.9382607340812683,-4.527895927429199,NaN
2023,1.0410000000000001,8.166552543640137,-0.43457356095314026,4.470738887786865,NaN
655,1.0190000000000003,-10.897444725036621,2.2740817070007324,-4.150002479553223,NaN
