source,set_id,cx,cy,cz,nx,ny,nz,radius,adoption
visible,1,-0.46871427722342696,-0.4365870253189823,-0.45073164247739256,0.500206158895065,-0.8241699829117746,0.2655892277006925,3.59149523120432,deterministic_disc
visible,1,0.0,-5.281789064407349,-2.657825469970703,0.18638793796539269,-0.7272383442854898,0.6605936172730617,0.5,deterministic_disc
visible,1,0.5,-5.3833523988723755,-2.1669711470603943,0.3390539405978422,-0.8766341599631765,0.34140148645067575,0.5,deterministic_disc
visible,1,0.5,5.0230772495269775,-0.8340183049440384,0.3660215577483186,-0.9263697503752749,-0.08869782890885859,0.8094551218715709,deterministic_disc
visible,1,0.0,-0.3902268707752228,-3.2979263067245483,0.25843485581879627,-0.964745677663904,0.04977150516844734,0.6040485779421154,deterministic_disc
visible,1,0.75,-1.5993848256766796,-1.76373041421175,0.46812443201663206,-0.8337838679131926,0.29268409208021784,3.3188899985426694,deterministic_disc
visible,1,0.0,1.9724488854408264,0.48965996503829956,0.3133467152776045,-0.7221623097571108,-0.6166809826733841,0.583466263076982,deterministic_disc
visible,1,0.0,1.625030279159546,3.423218846321106,0.309701418055424,-0.9360078132503284,0.1672555086949242,0.5,deterministic_disc
visible,1,1.026959879060599,-3.830230700754834,-1.5082647487263967,0.5962281791842463,-0.7607950638792688,-0.25632563103126854,1.2887975890614138,deterministic_disc
visible,1,0.0,-2.2738873958587646,2.3785301446914673,0.35961434857939834,-0.8788633496327523,-0.31349120078259585,0.5,deterministic_disc
visible,1,0.0,3.9099669456481934,1.976428747177124,0.6499070546902845,-0.6692603848903493,0.3601546299580514,0.5,deterministic_disc
visible,1,0.5320579223240252,-4.775902798508746,-0.277212454477141,0.33030022514908114,-0.834282038309661,-0.44144675989335774,0.6041259125379745,deterministic_disc
visible,1,0.0,4.374290227890015,-2.150136709213257,0.3076565238728976,-0.9329694427851397,0.1868568493463143,0.7226532355652198,deterministic_disc
visible,1,0.5,4.580345153808594,-3.035981148481369,0.2626446980169067,-0.9348752946945215,-0.23880105940602464,1.2556878073328006,deterministic_disc
visible,1,0.0,1.7916465997695923,-2.55656760931015,0.3697772017328239,-0.9250403024759432,0.08697850236614815,0.6772560247695235,deterministic_disc
visible,1,0.6281127449735542,-1.1267311701734088,-3.019450583588951,0.5379903469766222,-0.7601868858937509,0.36425579621350546,0.8329984266147655,deterministic_disc
visible,1,1.5,3.511746346950531,0.4978007972240448,0.1281199597028296,-0.927768305109011,0.35047289190591974,2.1502177893422916,deterministic_disc
visible,1,0.5,4.948384046554565,-0.5580852814018726,0.04727321010764697,-0.898321557894732,0.4367878457875175,1.0380470034747826,deterministic_disc
visible,1,0.0,1.5142532289028168,2.1063173413276672,0.3042474976325832,-0.8233219957388452,0.4791391776059605,1.8020897368636817,deterministic_disc
visible,1,0.0,4.50011682510376,-0.06242360174655914,0.011535101345918997,0.9930283234169971,0.11731023113338122,0.5,deterministic_disc
visible,1,0.0,1.747638761997223,-3.7126787900924683,0.43124720089398216,-0.8506507205527079,0.30069786055817627,0.5,deterministic_disc
visible,1,0.0,0.10983014851808548,-3.591177463531494,0.4436091675199732,-0.8883617309134898,-0.11842441277297931,0.5,deterministic_disc
visible,1,0.3333333333333333,-0.5092823803424835,0.16691862543423971,0.05271247737936475,-0.9683825621908657,0.24383725714743465,1.2354572918204418,deterministic_disc
visible,1,0.0,3.5189064741134644,1.7904417514801025,0.14100512632421688,-0.9898202257978593,-0.019325500039239895,1.0792571270909355,deterministic_disc
visible,1,0.515114328867312,3.552950832722402,-1.0624616171436776,0.1337484769305652,-0.9859370040249035,-0.10019764973866153,0.8606502473132436,deterministic_disc
visible,1,0.0,0.9983570277690887,3.6285282373428345,0.49706408410457525,-0.8478564028917391,-0.18457198153772078,0.5,deterministic_disc
visible,1,1.6,-4.106546330451965,0.38011679649353025,0.13630772552566747,-0.9316312227903183,0.33687307503603736,2.071845867531763,deterministic_disc
visible,1,0.5318121673436056,-3.4805464890174584,-1.9206377567252928,0.3854509370576948,-0.8516514981176971,0.35512997743815905,0.6682408085611653,deterministic_disc
visible,1,0.0,-0.17551162838935852,3.208350658416748,0.05255950627566332,-0.9946090007125894,-0.08938922754763486,0.5301868567276873,deterministic_disc
visible,1,0.5,-5.204423546791077,-1.8839681148529053,0.5080313398219456,-0.6973480321038754,0.5055787573460452,0.8491208853286305,deterministic_disc
visible,1,0.5,4.345622360706329,-3.3030611872673035,0.2897321161936083,-0.800190557584345,0.5251193887096808,1.1236633278042667,deterministic_disc
visible,1,0.0,1.9661317467689514,0.46238475292921066,0.6294969918868336,-0.765190184423249,-0.13497228925872917,0.6729673748267501,deterministic_disc
visible,2,0.0,0.04057112103328109,-3.9303089380264282,0.8324903109475126,-0.5027334009342489,-0.23284975792041862,0.5,deterministic_disc
visible,2,0.0,2.244517683982849,-3.2439850568771362,0.8538748671593142,-0.441669794505169,0.27536431115056564,1.0583761356760246,deterministic_disc
visible,2,0.0,-4.1270235776901245,-2.4654263257980347,0.90668641350863,-0.2645421924713422,0.32853793686774263,1.4092562732922354,deterministic_disc
visible,2,0.4745928065608029,-3.7413854142664973,0.14226001896966728,0.8489626063068506,-0.3596797702820441,0.3871601166733674,1.0113347614134676,deterministic_disc
visible,2,0.0,-0.2601383924484253,-1.6463715434074402,0.9863556841178986,0.04509283701771959,-0.1583322470566418,1.2051537085518949,deterministic_disc
visible,2,0.0,-3.604704976081848,0.6020907685160637,0.826668276084555,-0.2247109599134879,-0.5158726061831052,1.3113269239078154,deterministic_disc
visible,2,0.0,2.781788468360901,-1.8077077865600586,0.9857367824060529,0.16739579951775882,-0.017367847177247823,0.5,deterministic_disc
visible,2,0.0,-4.7459611892700195,-3.7488315105438232,0.7840524845329812,-0.6035066195760511,0.14505675311941482,0.5,deterministic_disc
visible,2,0.0,1.858435332775116,2.978076457977295,0.912857368942089,-0.36469063772239896,0.18355425008905885,0.7195387476355456,deterministic_disc
visible,3,0.0,-1.6981318593025208,3.472226142883301,0.4199807036770348,0.8933880305576215,0.15960587519047417,0.5,deterministic_disc
visible,3,0.5,-3.4857450127601624,-2.8974201381206512,0.31980399102149815,0.9323817277941395,-0.1684924953887761,1.4127663567817628,deterministic_disc
visible,3,0.0,1.8072162866592407,-3.0850605964660645,0.5085377589177837,0.8501031224922992,0.13679922837399758,1.0809390103648777,deterministic_disc
visible,3,0.0,1.6268343329429626,3.376818895339966,0.6991555092922155,0.6074411271441545,-0.3770899771674949,0.5,deterministic_disc
