trace_id,face_id,set_id,x_face_nominal,x_mid_rough,x_span,rough_offset_p0,rough_offset_p1,rough_offset_mid,p0_x,p0_y,p0_z,p1_x,p1_y,p1_z,length_yz,length_3d,length_ratio_3d_to_yz,theta_yz_deg,valid_length,valid_x_tolerance,confidence,parent_fracture_id,x_face,normal_x,normal_y,normal_z,rough_length_warning,censoring_class,is_p0_on_boundary,is_p1_on_boundary,distance_p0_to_boundary,distance_p1_to_boundary
1,1,1,-0.009629006,-0.009629005000000001,0.06780435,0.033902176,-0.033902174,9.999999994736442e-10,0.02427317,-1.3330636,2.9,-0.04353118,-1.6493112,1.6,1.3379135041196646,1.3396305365229184,1.0012833657766118,76.32738694465247,True,True,1.0,8466,-0.009629006,-0.4075918,0.892075,-0.19511819,False,0,False,False,2.9,1.6
2,1,1,0.021301953,0.0213019525,0.071440009,0.035720004,-0.035720005,-4.999999997368221e-10,0.057021957,5.356325,2.45,-0.014418052,4.9547625,0.6968999,1.798502822357046,1.7999211307477283,1.0007886050402877,77.09847908094638,True,True,1.0,29955,0.021301953,-0.25887978,0.94365567,-0.20614381,False,0,False,False,0.17338251117565734,0.300133850242263
3,1,1,0.024561964,0.024561964,0.0051508019999999995,-0.002575400999999998,0.0025754010000000015,0.0,0.021986563,4.5374155,1.2,0.027137365,3.7421668,0.05,1.3981847141389043,1.3981942016804862,1.0000067856138648,55.33534298014099,True,True,1.0,41145,0.024561964,-0.31641462,0.7800077,-0.5398794,False,1,False,True,0.8554519014058883,0.05
4,1,1,0.041605778,0.041605778999999996,0.057568902,0.028784451999999995,-0.028784450000000003,9.999999925347502e-10,0.07039023,2.4688864,7.35,0.012821328,0.9855595,3.9,3.755363989317628,3.7558052226840912,1.000117494167734,66.73472139114321,True,True,1.0,161829,0.041605778,-0.17545578,0.90553474,-0.38629273,False,1,True,False,0.004399305342394916,3.7402857357490302
5,1,1,0.086464524,0.08646452,0.029085319999999998,-0.014542663999999997,0.014542656000000001,-3.999999997894577e-09,0.07192186,-1.3990685,7.75,0.10100718,-1.2734976,6.5,1.2562913877468118,1.2566280303917752,1.0002679654165003,95.73650100222413,True,True,1.0,169022,0.086464524,-0.21684165,0.9717624,0.09304579,False,1,True,False,0.008383377612835311,1.2463247301773355
6,1,1,-0.01251442,-0.012514418999999999,0.012033516,-0.006016756999999999,0.006016759,1.0000000012083676e-09,-0.018531177,-3.6146848,6.55,-0.006497661,-2.592178,4.3,2.4714409068489256,2.4714702024409605,1.0000118536485958,114.43930166811971,True,True,1.0,190299,-0.01251442,-0.818149,0.5249956,0.234546,False,1,True,False,0.048453477224376366,2.315692318787712
7,1,1,0.014222403,0.014222403299999999,0.0186644574,0.009332229,-0.0093322284,2.9999999880125916e-10,0.023554632,0.2618571,0.85,0.0048901746,0.12855536,0.05,0.8110298107264785,0.8112445475052907,1.000264770512714,80.53987935768666,True,True,1.0,204735,0.014222403,-0.24425538,0.957453,-0.15369776,False,1,False,True,0.85,0.05
8,1,1,0.019938,0.019938000249999997,0.0207575835,0.010378791999999998,-0.010378791500000002,2.499999963989641e-10,0.030316792,4.2661715,5.9,0.0095592085,4.221307,5.75,0.15656571578813172,0.15793574843273928,1.008750527774941,73.34825122188452,True,True,1.0,328735,0.019938,-0.073658615,0.9581999,-0.27645484,False,1,True,False,0.024292261901038503,0.1595427377168148
9,1,1,-0.011153313,-0.011153314999999997,0.09759189,-0.048795947,0.048795943,-1.999999997212565e-09,-0.05994926,-4.4761367,3.9,0.03764263,-4.8749576,0.05,3.870601776245757,3.8718319032817767,1.0003178128640278,84.08583362081158,True,True,1.0,364605,-0.011153313,-0.28668755,0.9521726,-0.10572428,False,1,False,True,0.8139917674477738,0.05
10,1,1,0.02253998,0.0225399804,0.043543891200000004,0.021771946,-0.0217719452,3.999999984016789e-10,0.044311926,-2.044035,2.9,0.0007680348,-3.3452373,0.9852745,2.315016450454627,2.3154259297883786,1.0001768796647952,55.80089670767828,True,True,1.0,385435,0.02253998,-0.3185651,0.7871348,-0.528143,False,0,False,False,2.9,0.9852745
11,1,1,0.01688355,0.0168835495,0.0038537430000000015,-0.0019268720000000013,0.0019268710000000001,-4.999999997368221e-10,0.014956678,1.8323721,7.6,0.018810421,1.8429983,7.5,0.10056299581078486,0.10063680967493943,1.0007340062172916,96.06560231880255,True,True,1.0,437309,0.01688355,0.10000204,0.9885232,0.11323206,False,1,True,False,0.0368023136830478,0.1302989294296057
12,1,1,-0.008685367,-0.008685368000000002,0.141925124,-0.070962563,0.07096256100000001,-1.0000000029430911e-09,-0.07964793,-5.339848,3.8,0.062277194,-4.315848,1.6,2.4266388276791417,2.4307856221440867,1.0017088634771871,114.95983735325048,True,True,1.0,448968,-0.008685367,-0.62243587,0.72417873,0.29688177,False,1,True,False,0.004482516521780001,1.1518243046380476
13,1,1,0.042426903,0.0424269025,0.021988079,0.010994038999999997,-0.010994040000000004,-4.999999997368221e-10,0.053420942,3.6387775,0.9,0.031432863,3.6597536,0.05,0.8502587822370374,0.8505430455828324,1.0003343256802912,91.4136448458844,True,True,1.0,512832,0.042426903,-0.073347464,0.9969603,0.02627425,False,1,False,True,0.9,0.05
14,1,1,-0.015045499,-0.015045498499999997,0.117724503,-0.05886225099999999,0.058862252000000004,5.00000003206269e-10,-0.07390775,-4.1452374,5.202744,0.043816753,-3.027008,3.5,2.0370994380639256,2.0404982673766123,1.001668465097569,123.29378566638604,True,True,1.0,564647,-0.015045499,-0.32326984,0.80109584,0.50372815,False,0,False,False,0.5215501590659984,2.30473382422347
