type,x1,y1,z1,x2,y2,z2
Trace,-25.0,2.455006800093817,0.7733259181190073,-25.0,3.4781579945562484,2.710246597352887
Trace,-25.0,-3.648201932428152,-1.5780803946436217,-25.0,-3.118788491901843,2.973874125605167
Trace,-25.0,-3.6985067481906246,-4.0,-25.0,-3.6586844557070113,-3.791941358531003
Trace,-25.0,-1.0584903351089021,2.9314717081556596,-25.0,-1.0196016490260615,3.8642320650088897
Trace,-25.0,-0.22595330722686469,1.3023153205073763,-25.0,0.7728263226852408,3.7535436762034324
Trace,-25.0,4.143278098136112,-4.0,-25.0,3.8530738603196486,-2.7774803901369873
Trace,-25.0,-3.5563595057207404,-1.508799871641623,-25.0,-4.004456833729054,0.7861661763326179
Trace,-25.0,-1.1824470607773885,-4.0,-25.0,1.9941302388572453,3.58544299370437
Trace,-25.0,5.058062055213617,-3.9407676174203905,-25.0,5.0290583893626435,-2.823976942406723
Trace,-25.0,-2.4639613118446286,-1.851478205762817,-25.0,-3.0086842887483334,2.9703353428940753
Trace,-25.0,-1.776883849084659,-4.0,-25.0,-1.8059448768521174,-3.9128880158829884
Trace,-25.0,0.0921171449590753,1.8161084517288728,-25.0,0.6233143468092796,3.1726785309035748
Trace,-25.0,4.86912985953785,-0.8417423893171337,-25.0,5.066605154235226,0.5949778793729296
Trace,-25.0,5.302363110714257,-3.209938670866409,-25.0,4.2426486826403575,1.9602667792634043
Trace,-25.0,5.038651473471852,-0.23751781575598385,-25.0,4.997589640483955,-2.3264778373955606
Trace,-25.0,4.509219284960076,-1.4758978236395508,-25.0,3.9135238539463986,-2.285730202692171
Trace,-25.0,0.13173409032578998,3.1970002457875077,-25.0,2.1115458300123757,2.361751036305236
Trace,-25.0,-5.4023559335841345,-2.640272601985841,-25.0,-4.764306290895119,-4.0
Trace,-25.0,-2.457590994967564,1.0538209153420255,-25.0,-2.958553166103961,-3.79293483585512
Trace,-25.0,-0.6543365722798936,3.902042074890616,-25.0,-0.6956464857397107,3.191296124887986
Trace,-25.0,5.153365963551167,-2.2336963017821363,-25.0,4.124200212656105,-4.0
Trace,-25.0,2.3722940188770676,3.4017980872476157,-25.0,0.7949663301157242,1.4572004790034725
Trace,-25.0,4.595024108025988,-2.8648249331650617,-25.0,2.7271016568579887,-3.9326911325577227
Trace,-25.0,5.152387841174792,-0.5747838486146795,-25.0,4.398330574287308,-2.632508987146199
Trace,-25.0,1.2430814603840532,-3.281337016117753,-25.0,1.1844540502473304,-4.0
Trace,-25.0,-0.9253420545354628,2.9746338247589774,-25.0,-0.954575466165286,0.9716907593406909
Trace,-25.0,-2.1476546195160626,2.499381356526393,-25.0,-0.005490744768097243,3.960868369337664
