joint_set,r_min_m,r_max_m,d_min_m,d_max_m,alpha_pdf_exponent,rho,n_traces,detection_limit_m,R50_m,R80_m,R90_m,R95_m,expected_R_m,loglik,warnings
1,1.0,250.0,2.0,500.0,3.7849458568881738,,41,0.1,1.2826017665393024,1.782302477040437,2.285983616617548,2.9320046367719788,1.5601595641707144,-39.521693079546736,
2,1.0,250.0,2.0,500.0,3.2941690836988085,,54,0.1,1.3527410348711904,2.01683334982976,2.7282382350215073,3.690554166622092,1.7713048297954967,-51.21513141969899,
3,1.0,250.0,2.0,500.0,3.2224193146528775,,89,0.1,1.3659995899937583,2.0630271579141928,2.8180704865622297,3.849410090174271,1.8159287143797427,-100.67499336068543,
4,1.0,250.0,2.0,500.0,1.6586877682767251,,114,0.1,2.753448299889165,9.888377768778128,23.87464711113681,51.0154258263029,11.066530771007526,-47.67589146618509,
5,1.0,250.0,2.0,500.0,3.6434843137595934,,28,0.1,1.2997988326571424,1.8382818043649765,2.3893948866738555,3.105727839278891,1.6082798430637946,-22.747862701860264,
