trace_id,face_id,set_id,x_face_nominal,x_mid_rough,x_span,rough_offset_p0,rough_offset_p1,rough_offset_mid,p0_x,p0_y,p0_z,p1_x,p1_y,p1_z,length_yz,length_3d,length_ratio_3d_to_yz,theta_yz_deg,valid_length,valid_x_tolerance,confidence,parent_fracture_id,dx,x_face,normal_x,normal_y,normal_z,rough_length_warning,censoring_class,is_p0_on_boundary,is_p1_on_boundary,distance_p0_to_boundary,distance_p1_to_boundary
1,1,1,6.0,6.0,0.0,0.0,0.0,0.0,6.0,3.27023720741272,4.333057403564453,6.0,3.123254537582397,6.34571647644043,2.018018941650557,2.018018941650557,1.0,94.17684405056761,True,True,1.0,87749,0.0,6.0,-0.1546133607625961,0.9853509664535522,0.0719591975212097,False,0,False,False,1.729144976941757,0.5038475079904391
2,1,1,6.0,6.0,0.0,0.0,0.0,0.0,6.0,1.4764344692230225,3.283588171005249,6.0,1.9595160484313965,3.706578493118286,0.6420970524552713,0.6420970524552713,1.0,41.20566447134263,True,True,1.0,353074,0.0,6.0,-0.6153379678726196,0.5192795991897583,-0.5930497050285339,False,0,False,False,3.283588171005249,3.169543890429207
3,1,1,6.0,6.0,0.0,0.0,0.0,0.0,6.0,1.3302943706512451,7.392353057861328,6.0,1.4823868256816193,7.735530543161518,0.37537035217785725,0.37537035217785725,1.0,66.09761005050586,True,True,1.0,395597,0.0,6.0,-0.6778789758682251,0.6721228957176208,-0.2978772819042206,False,1,False,True,0.37138070571534576,0.0
4,1,1,6.0,6.0,0.0,0.0,0.0,0.0,6.0,-4.989133834838867,0.22882080078125,6.0,-4.9029741287231445,2.2414913177490234,2.0145138631514237,2.0145138631514237,1.0,87.54874171914325,True,True,1.0,438281,0.0,6.0,0.0586636252701282,0.997364342212677,-0.0426956862211227,False,0,False,False,0.11913809222445963,0.635965933870105
5,1,1,6.0,6.0,0.0,0.0,0.0,0.0,6.0,1.9326434135437007,6.840865612030029,6.0,1.6413220483275928,7.691330354139948,0.8989763152627926,0.8989763152627926,1.0,108.90857450503681,True,True,1.0,465773,0.0,6.0,-0.3744503259658813,0.8772098422050476,0.3004827201366424,False,1,False,True,0.6966372146017599,0.0
6,1,1,6.0,6.0,0.0,0.0,0.0,0.0,6.0,-2.0843777656555176,6.685036659240723,6.0,-2.1187701947393074,7.52491490812448,0.840582126937238,0.840582126937238,1.0,92.34491214916186,True,True,1.0,602883,0.0,6.0,-0.3425366580486297,0.9387177228927612,0.0384399183094501,False,1,False,True,0.7705284876510656,0.0
7,1,1,6.0,6.0,0.0,0.0,0.0,0.0,6.0,1.2675257731708278,0.0,6.0,1.4620730876922607,3.112524032592773,3.118598164408983,3.118598164408983,1.0,86.42339859988988,True,True,1.0,724122,0.0,6.0,-0.0149866016581654,0.997940182685852,-0.0623759217560291,False,1,True,False,0.0,3.112524032592773
8,1,2,6.0,6.0,0.0,0.0,0.0,0.0,6.0,1.4620885848999023,4.852869033813477,6.0,-1.4165937900543213,3.7144272327423096,3.0956198006696902,3.0956198006696902,1.0,21.577470434422935,True,True,1.0,791567,0.0,6.0,0.9228619337081908,-0.1416353285312652,0.3581414222717285,False,0,False,False,2.6901145479733195,3.5965579769926403
9,1,2,6.0,6.0,0.0,0.0,0.0,0.0,6.0,-0.5678558349609375,5.570728302001953,6.0,-2.690143831573696,7.247443033933763,2.7047141499322542,2.7047141499322542,1.0,141.6894822637487,True,True,1.0,931180,0.0,6.0,0.9931816458702089,0.0722689032554626,0.0914737731218338,False,1,False,True,2.3295995231266433,0.0
10,1,2,6.0,6.0,0.0,0.0,0.0,0.0,6.0,-3.8247071149057854,6.402599343467236,6.0,-2.5665879249572754,3.226517915725708,3.4161904413778457,3.4161904413778457,1.0,111.60966199174857,True,True,1.0,1317917,0.0,6.0,0.923066258430481,-0.3576062023639679,-0.1416561007499694,False,1,True,False,9.930136612989092e-16,2.8352184253075947
11,1,2,6.0,6.0,0.0,0.0,0.0,0.0,6.0,4.71796910422376,5.278588807547619,6.0,3.745774984359741,3.4739911556243896,2.0498131846646435,2.0498131846646435,1.0,61.68724180884766,True,True,1.0,1373568,0.0,6.0,0.8792243599891663,-0.419416069984436,0.2259527742862701,False,1,True,False,1.2560739669470201e-15,1.6311922667965773
12,1,2,6.0,6.0,0.0,0.0,0.0,0.0,6.0,5.064018575009316,4.601117031284222,6.0,3.620826482772827,4.147319316864014,1.5128568275639762,1.5128568275639762,1.0,17.45524751138001,True,True,1.0,1376986,0.0,6.0,0.9528719186782836,-0.0909999459981918,0.2894030511379242,False,1,True,False,0.0,1.5061603659095806
