face_id,trace_id,x_face,y0,z0,y1,z1,length,local_orientation_2d,confidence
1,1,0.0,-0.29067119932021807,0.0,0.03553955900167324,1.4162881316011648,1.453370403771613,1.344416477078713,1.0
1,2,0.0,-0.7622056373497311,0.0,-0.5888901914226468,1.0946127059859938,1.1082487175281925,1.4137649756059285,1.0
1,3,0.0,3.254203838976044,6.874535777208974,4.297679072285605,0.0,6.9532785586841435,-1.4201577297166508,1.0
1,4,0.0,2.73701319328392,2.263637408653296,3.5136591819843406,6.684203659838884,4.488271936155992,1.3968819654821536,1.0
1,5,0.0,-2.946497776019671,1.131011243583551,-2.5489717248180517,0.0,1.1988383521127288,-1.2328050321195372,1.0
1,6,0.0,1.1057467908567562,1.8625760247994045,-0.7933842564467891,0.0,2.660054169183367,-2.3659118528686167,1.0
1,7,0.0,4.874822383644716,5.037249758689002,4.462254082588757,2.0121820553591823,3.053071766723696,-1.7063432106975713,1.0
1,8,0.0,-0.3376632536231332,0.8168295993899202,2.0015327208316434,6.342307158049883,6.00022833383533,1.170326368321858,1.0
1,9,0.0,-2.086103132923426,2.403346595368717,-2.528772997034401,0.0,2.443774021071186,-1.7529437602391582,1.0
1,10,0.0,3.5478302569737346,6.659136328481845,3.0271840361969686,4.267001048917371,2.4481388201950747,-1.7851032113830563,1.0
1,11,0.0,1.850821044376129,7.633068283146405,3.0681795308321593,5.170976788681745,2.7466081285217476,-1.1116059603900674,1.0
1,12,0.0,3.9946037319680694,3.261170180210436,4.505368147511943,0.0,3.3009258144465536,-1.4154384405738984,1.0
1,13,0.0,1.254806970861779,2.19065661006369,1.954613317677688,0.04401813854267478,2.2578276396700234,-1.255659299396917,1.0
1,14,0.0,-4.602624927637552,5.45606073527179,-4.170901881261507,4.192346068794403,1.3354248563817686,-1.2415973041863224,1.0
1,15,0.0,-2.7066082551070227,0.0,-1.719173272868365,2.2830579578952377,2.4874447698908675,1.162585720226532,1.0
1,16,0.0,-3.252528049098868,0.0,2.4453311760197676,2.2213732949742444,6.115562039984083,0.3717354493331482,1.0
1,17,0.0,5.089114793752996,0.15212654820043084,4.030822202791537,0.0,1.0691705639191982,-2.9988234968127556,1.0
1,18,0.0,-3.448288118985265,3.485775490118842,-3.862481708391426,6.3626202263937355,2.906508552565728,1.7137886647609009,1.0
1,19,0.0,-1.2243386992308323,4.638678174328666,-2.098523906785339,1.8857344596704149,2.8884076708774136,-1.878271287074485,1.0
1,20,0.0,-3.34492174527607,6.8079866324148615,-0.9572391079692455,1.6427968331648386,5.69036150334695,-1.1377903757947685,1.0
1,21,0.0,-1.47390284455566,7.693552930589966,-1.239993162375038,4.589108045774772,3.1132445747600794,-1.495591725760741,1.0
1,22,0.0,-4.4960630696763975,4.13238764973727,-3.93920447645033,0.0,4.16973850265827,-1.4368485314996862,1.0
1,23,0.0,-2.500410297446243,4.965682643224367,-2.443483761314335,0.0,4.966008935124434,-1.5593328389728895,1.0
1,24,0.0,-1.8317319424871998,3.672762033113369,-1.6637306196395638,1.1771311975357421,2.501279215114626,-1.5035795618048022,1.0
1,25,0.0,1.1455074529621492,7.829217340233782,0.481151638719413,4.792424195987698,3.1086140398669873,-1.786172037730826,1.0
1,26,0.0,0.4958397363358307,7.624114426988248,-0.14255038754628127,0.0,7.650794909424809,-1.6543344754909073,1.0
1,27,0.0,-1.6146864148359386,0.0,-3.2148079604471036,6.903435937402739,7.086453041017961,1.7985605587576219,1.0
1,28,0.0,0.024353839144895917,7.959158229301814,1.2804087212191013,5.989251648474447,2.3362803350560086,-1.0031722827493816,1.0
1,29,0.0,-0.841786689312617,5.606273266692339,-1.8968541734697388,3.411405990690753,2.4352843274222136,-2.0188831370686153,1.0
1,30,0.0,5.241274639263633,4.1804312913464665,1.823517305761139,2.430561184411978,3.8396758433301366,-2.668396213549706,1.0
1,31,0.0,0.19399013106799234,2.166269393699853,1.3318781259026293,0.0,2.4469393484247868,-1.0871334654600786,1.0
1,32,0.0,-3.9998173161118684,5.079880487412102,-4.341344664423424,5.855810849645758,0.8477669825375224,1.9854305913850239,1.0
1,33,0.0,-4.204778131102253,0.0,-2.6956347498109325,7.244776520682022,7.400290574019436,1.3654254191604467,1.0
1,34,0.0,0.3396996354316963,7.930567999968611,1.099644314820788,5.851675156542166,2.213438811031712,-1.2203339254051324,1.0
1,35,0.0,-1.7232874426871605,3.2650391550279956,-1.7897182499473403,7.650061086997786,4.385525099233764,1.5859446491712819,1.0
1,36,0.0,1.9105565533196587,4.703724333823065,2.10104945127101,6.890107607105249,2.1946661162596053,1.4838888450723993,1.0
1,37,0.0,4.812588653031341,0.1840172139029752,1.7687223893145785,6.9456974757861945,7.415216908178356,1.9937867783872796,1.0
1,38,0.0,5.543384168038465,2.1611618990022134,2.9272247354774588,0.0,3.393362776108204,-2.451149214714604,1.0
1,39,0.0,-4.884160960652566,2.2374945853608503,2.356708597610406,7.409366674306115,8.898227512498794,0.6202332450600639,1.0
1,40,0.0,-5.308126716164027,3.960358323431057,-2.5611219802682577,5.0120151129870205,2.941431118019415,0.36562425171871665,1.0
1,41,0.0,4.591469271107006,5.4732251550812725,-5.47916334045368,1.6136869751011473,10.784881833369985,-2.7756115471419043,1.0
1,42,0.0,-5.067586995736797,0.08772591886843832,-1.795139787864755,4.18933592057734,5.2471054243676125,0.8973710627070728,1.0
1,43,0.0,-1.3208258507877995,1.527038497896367,4.699654390870483,5.306768361823531,7.108624352465155,0.5606188871855903,1.0
1,44,0.0,1.4447642831053917,1.2880101770370955,4.670270334903642,5.351979530788726,5.188423286357772,0.8999186985181146,1.0
1,45,0.0,-4.469636653489656,0.0,2.13666082693186,3.4019311350626507,7.430767244876691,0.47553813645851906,1.0
1,46,0.0,-5.45662222117989,3.304679707943703,1.5315428675874656,7.72186015400788,8.26715999609047,0.5636846915016769,1.0
1,47,0.0,-5.389249223236797,1.0499817830187688,4.666922474581017,5.3571306467166595,10.93974956523439,0.4046700600028098,1.0
1,48,0.0,2.0097735908509344,6.4177655238707905,-4.437890454064747,0.0,9.097257056689283,-2.3585184287021943,1.0
1,49,0.0,-5.5397764668175835,2.238420416214192,1.3104100176904714,7.783357621980082,8.81313698341423,0.6804813750062121,1.0
1,50,0.0,5.502687321841196,3.0326802980888417,-1.3642781393449255,0.0,7.506821193790309,-2.7257182608162798,1.0
1,51,0.0,-3.2154534500950045,0.0,5.267210316580373,4.1188775744190425,9.429779268440985,0.4520323926490145,1.0
1,52,0.0,5.4912937105111705,1.70691092058082,-5.399769247430535,1.0814525436676168,10.909007770420775,-3.084227074069021,1.0
1,53,0.0,1.7061481319939276,1.6488323068494397,5.208573457418068,4.258041729891479,4.36748863461186,0.6402755294207162,1.0
1,54,0.0,-2.340174357222058,0.0,-0.019758392090652555,1.619485417027489,2.8296754702971527,0.6093346274214544,1.0
1,55,0.0,5.53217046988512,2.4013019878698305,-5.223357008380251,0.5537135148939447,10.91306347920669,-2.9714726460171432,1.0
1,56,0.0,-3.1609893539210177,0.0,5.093179179302922,4.53190952379558,9.416448486915506,0.5021096690690475,1.0
1,57,0.0,-5.40397406689174,1.0940313043622918,-0.6725740420035073,1.1867763754966325,4.73230893367414,0.019599525426302215,1.0
1,58,0.0,2.5525080295671856,5.2221032018785065,0.6424538357393724,6.663609366214504,2.39295780263211,2.4950942391593016,1.0
1,59,0.0,-5.173657397354022,0.40503661699495497,-4.47500862041322,0.5946916272077829,0.7239331021715378,0.2650718826763624,1.0
1,61,0.0,0.16059099008139105,0.0,2.3727475357329206,1.5896545502262551,2.7240848319250164,0.6231000766774936,1.0
1,62,0.0,-1.5736843788436508,2.55455788807143,5.463120636290528,1.490396080333364,7.116815662504255,-0.15009068911217013,1.0
2,1,3.0,0.1824304474616766,0.0,0.484807125641017,1.312809248785728,1.3471821625912805,1.344416477078713,1.0
2,2,3.0,-0.39174412463813046,0.0,-0.2274889908256287,1.0373902656675846,1.05031343525903,1.4137649756059285,1.0
2,3,3.0,2.3388623410073324,7.418033217436068,3.464834216508253,0.0,7.503001364747574,-1.4201577297166508,1.0
2,4,3.0,3.8617382007672867,2.0660353106825378,4.488247750713043,5.63204480899978,3.620626735561403,1.3968819654821536,1.0
2,5,3.0,-3.4537465053316496,0.9527242588303937,-3.118884482831466,0.0,1.009859439465135,-1.2328050321195374,1.0
2,6,3.0,1.1022105575051695,1.8661816604669372,-0.8005968898756366,0.0,2.665203589159934,-2.3659118528686167,1.0
