y,z
5.038262036,0.0
5.416370923000001,1.1311166270000002
5.5452373260000005,2.121476729
5.498651889,3.1190986400000003
5.27805484,4.093140027
4.890266125,5.013487566
4.346057332,5.850823150999999
3.660210251,6.576696237
2.854999549,7.167385394
1.956684061,7.603627576
0.9945588790000001,7.871196427
0.0,7.961366224000001
-0.9945588790000001,7.871196427
-1.956684061,7.603627576
-2.854999549,7.167385394
-3.660210251,6.576696237
-4.346057332,5.850823150999999
-4.890266125,5.013487566
-5.27805484,4.093140027
-5.498651889,3.1190986400000003
-5.5452373260000005,2.121476729
-5.416370923000001,1.1311166270000002
-5.038262036,0.0
