trace_id,face_id,x_face,p0_x,p0_y,p0_z,p1_x,p1_y,p1_z,set_id,parent_fracture_id,normal_x,normal_y,normal_z
140,2,3.1207187,3.1522667,-1.5952374,4.9451513,3.0891707,-2.897927,6.75,3,2972918,-0.21217278,-0.7888472,-0.576804
141,2,2.9312744,2.8486564,-1.2952373,1.0712613,3.0138927,-3.8977163,4.0,3,3016562,-0.11642838,-0.74570197,-0.6560282
142,2,3.070159,3.0764537,4.7047625,0.015549975,3.0638645,4.2815843,0.55,3,3035165,-0.42098007,-0.70604926,-0.56944734
143,2,3.037255,3.0438886,0.99112594,0.05,3.0306218,0.94089735,0.6,3,3051468,-0.07396346,-0.9929609,-0.09250983
144,2,3.1186693,3.1487923,-0.7789037,4.55,3.0885463,-0.94223017,6.7,3,3156196,-0.64722276,-0.758518,-0.07584953
145,2,3.0994418,3.1220675,2.9467773,0.65,3.0768163,2.8923454,1.25,3,3199418,-0.2067936,-0.9728416,-0.10399813
146,2,2.8791,2.8992648,-5.240442,1.95,2.8589354,-5.5129266,2.5,3,3202863,-0.32636413,-0.83789545,-0.43751302
147,2,3.0636559,2.9762003,-1.0221432,2.4,3.1511114,-2.2792823,5.6,3,3277769,-0.5193129,-0.80465615,-0.28782386
148,2,2.9747503,2.9159303,-0.24523732,0.003310762,3.0335703,0.9047627,1.2607198,3,3281007,-0.049782366,-0.73467946,0.6765854
149,2,3.1147144,3.129201,2.0595868,5.35,3.1002276,1.9823872,7.55,3,3312570,-0.56864923,-0.8217824,-0.03621783
150,2,3.1028447,3.108639,1.9151479,4.5,3.0970502,2.4780476,6.95,3,3404117,0.13144812,-0.96601546,0.22256581
151,2,3.0186417,2.9808881,4.0489492,3.6,3.056395,3.7819703,5.0,3,3438878,-0.3906469,-0.90783906,-0.15239184
152,2,3.1081927,3.1613913,2.9681969,0.05,3.0549939,3.8293629,6.35,3,3547316,-0.399124,-0.90934086,0.117470264
153,2,3.0753477,3.02111,-0.5952373,2.7331836,3.1295853,-2.708644,5.25,3,3588423,-0.5086017,-0.6699098,-0.5408744
154,2,3.0079331,2.9548457,-3.8780887,1.5,3.0610209,-4.144264,6.05,3,3648958,-0.61963475,-0.78426313,-0.031370535
155,2,3.1026382,3.0637329,1.1755354,0.05,3.1415434,1.8846018,5.15,3,3682856,-0.36215985,-0.9225135,0.13345079
156,2,3.0421941,3.0531979,-0.045237325,7.336946,3.0311906,0.45476267,7.912878,3,3749578,-0.8244097,-0.44156662,0.35407275
157,2,2.9766023,2.8885841,-2.3651178,1.55,3.0646207,-3.075687,7.0,3,3802387,-0.7303818,-0.67996037,-0.064779155
158,2,3.0680952,3.0380847,5.5047626,2.8959756,3.0981057,1.5547627,0.014991266,4,3878550,0.28064314,0.56850064,-0.7733346
159,2,2.9555423,3.0195296,-0.74523735,7.8716793,2.8915548,-5.4039392,1.8,4,3884933,0.34461397,0.7413616,-0.5758682
160,2,3.0954778,3.0913815,1.7047627,3.978395,3.099574,-0.3452373,3.7734435,4,3906031,0.12081075,0.099213354,-0.9877052
161,2,3.0095427,3.0394049,5.464564,3.2,2.9796808,5.083268,1.7,4,3912768,-0.24730653,0.9414032,-0.22934586
162,2,3.1640837,3.1374974,1.9047626,6.238073,3.1906698,0.20476267,5.3462424,4,3914309,0.36229074,0.4418628,-0.8206721
163,2,3.0622983,3.0516016,3.669147,6.55,3.0729947,3.4047627,6.440583,4,3930309,-0.32522297,0.34024343,-0.88230634
164,2,3.1033356,3.0903537,2.5547626,7.292409,3.1163175,1.5547627,7.016719,4,3933064,-0.016284097,0.26531777,-0.96402353
165,2,3.0652652,3.055887,0.054762673,7.323817,3.0746434,-3.9452374,5.9106793,4,3933153,0.0027397377,0.3331188,-0.94288087
166,2,2.9883401,3.0981913,2.2547626,7.407982,2.878489,-5.467846,3.15,4,3934136,0.17523141,0.47157723,-0.8642389
167,2,3.066307,3.0070748,4.804763,5.074068,3.1255395,1.7047627,4.4938807,4,3935807,-0.29180562,0.16491872,-0.9421525
168,2,3.0628405,3.1614819,-1.4952374,5.628154,2.9641988,-4.9952374,4.7601304,4,3945818,0.2939684,0.2149611,-0.9313293
169,2,3.0228395,3.0151675,4.72859,5.25,3.0305119,2.0178952,3.15,4,3949402,0.086918645,0.61045116,-0.7872703
170,2,3.0193284,3.0907724,3.175372,6.15,2.9478846,0.054762673,0.019651607,4,3964077,0.0145775685,0.89094853,-0.45387024
171,2,2.9832635,3.0496616,-4.0452375,4.6660495,2.9168653,-5.2952375,3.8945525,4,3967207,-0.27636102,0.5257741,-0.8044788
172,2,3.0429583,2.9751887,5.304763,0.90163106,3.1107275,4.2047625,0.0017151837,4,3973543,0.2034173,0.6348491,-0.7453778
173,2,3.0510972,3.133285,-1.9452373,4.7341456,2.9689095,-4.8952374,4.336364,4,3989338,0.3119389,0.109798014,-0.94373643
174,2,3.056276,3.061983,1.0547627,7.8371854,3.050569,-2.3452373,7.408818,4,3992991,-0.3026298,0.12003308,-0.94551957
175,2,3.0078287,3.0937872,2.8547628,6.420262,2.9218705,-5.2452374,4.0718966,4,3995761,-0.014641017,0.27870187,-0.96026605
176,2,2.9726477,3.034394,4.4547625,5.6506724,2.9109013,-0.29523733,0.013683388,4,4000087,0.03907703,0.76369965,-0.6443879
177,2,3.0041032,3.0313258,5.5047626,2.6698427,2.9768803,-3.5952373,0.0009677679,4,4002460,0.38612148,0.25744408,-0.885795
178,2,3.0425131,3.047505,4.2047625,5.954083,3.0375214,0.9498207,2.5,4,4003495,0.29057723,0.6959939,-0.65662575
179,2,2.9614909,3.0692375,1.2175621,7.8,2.8537445,-1.5805174,0.2,4,4007496,0.3179518,0.88674986,-0.3355314
180,2,2.9654026,3.0648382,3.0768912,7.0,2.865967,-0.804644,0.05,4,4018219,0.43005288,0.7830122,-0.44938445
181,2,3.0964563,3.0517945,3.7547626,6.4540453,3.1411178,-0.29523733,6.053126,4,4022174,0.13425739,0.10055182,-0.9858318
182,2,3.0056517,3.0414767,4.361223,5.75,2.9698267,-5.3452373,0.97438216,4,4029604,0.14469749,0.43594074,-0.88826704
183,2,2.9573917,2.9778113,3.7047627,2.8018959,2.9369721,-0.045237325,0.014161543,4,4032961,-0.1266457,0.5926918,-0.79541016
184,2,3.122425,3.1115265,4.002797,0.2,3.1333237,3.8047626,0.03976738,4,4034215,-0.3965517,0.55020046,-0.7348648
