set_id,cx,cy,cz,nx,ny,nz,radius,adoption,radius_status,arc_deg,n_traces,n_faces,residual_m
1,-0.46871427722342696,-0.4365870253189823,-0.45073164247739256,0.500206158895065,-0.8241699829117746,0.2655892277006925,3.59149523120432,deterministic_disc,determined,162.7,3,3,1.761385043634481e-08
1,0.0,-5.281789064407349,-2.657825469970703,0.18638793796539269,-0.7272383442854898,0.6605936172730617,0.5,deterministic_disc,shrinkage,0.0,1,1,1.5916796490885316e-08
1,0.5,-5.3833523988723755,-2.1669711470603943,0.3390539405978422,-0.8766341599631765,0.34140148645067575,0.5,deterministic_disc,shrinkage,0.0,2,2,6.07073657437877e-08
1,0.5,5.0230772495269775,-0.8340183049440384,0.3660215577483186,-0.9263697503752749,-0.08869782890885859,0.8094551218715709,deterministic_disc,shrinkage,213.7,2,2,0.02011532928826124
1,0.0,-0.3902268707752228,-3.2979263067245483,0.25843485581879627,-0.964745677663904,0.04977150516844734,0.6040485779421154,deterministic_disc,shrinkage,0.0,1,1,3.6579338708081593e-09
1,0.75,-1.5993848256766796,-1.76373041421175,0.46812443201663206,-0.8337838679131926,0.29268409208021784,3.3188899985426694,deterministic_disc,shrinkage,236.7,4,3,0.04981624805711929
1,0.0,1.9724488854408264,0.48965996503829956,0.3133467152776045,-0.7221623097571108,-0.6166809826733841,0.583466263076982,deterministic_disc,shrinkage,0.0,1,1,2.797381883770858e-09
1,0.0,1.625030279159546,3.423218846321106,0.309701418055424,-0.9360078132503284,0.1672555086949242,0.5,deterministic_disc,shrinkage,0.0,1,1,9.682290693066634e-09
1,1.026959879060599,-3.830230700754834,-1.5082647487263967,0.5962281791842463,-0.7607950638792688,-0.25632563103126854,1.2887975890614138,deterministic_disc,determined,278.5,3,3,5.555294831225334e-08
1,0.0,-2.2738873958587646,2.3785301446914673,0.35961434857939834,-0.8788633496327523,-0.31349120078259585,0.5,deterministic_disc,shrinkage,0.0,1,1,3.048034055181561e-08
1,0.0,3.9099669456481934,1.976428747177124,0.6499070546902845,-0.6692603848903493,0.3601546299580514,0.5,deterministic_disc,shrinkage,0.0,1,1,5.040362812686079e-09
